"year","round","pick","team","player","college","player.id","from","to","num.seasons","G","WS","VORP","rk.ws","rk.vorp","tot","n.all","n.used","hi","lo","sd","board.rk","diff"
2008,"Round 1",1,"CHI","Derrick Rose","Memphis","rosede01","2009","2019",10,546,37.2,10.6,14,11,456,5,5,1,3,0.836660026534076,2,-1
2008,"Round 1",2,"MIA","Michael Beasley","Kansas State","beaslmi01","2009","2019",11,609,15.6,-4.2,28,51,458,5,5,1,2,0.547722557505166,1,1
2008,"Round 1",3,"MIN","O.J. Mayo","USC","mayooj01","2009","2016",8,547,21.9,5.1,23,18,439,5,5,3,8,2.28035085019828,3,0
2008,"Round 1",4,"SEA","Russell Westbrook","UCLA","westbru01","2009","2019",11,821,96.7,61.7,1,1,419,5,5,4,16,5.58569601750758,8,-4
2008,"Round 1",5,"MEM","Kevin Love","UCLA","loveke01","2009","2019",11,657,78.3,24.9,3,3,425,5,5,2,14,5.24404424085076,6,-1
2008,"Round 1",6,"NYK","Danilo Gallinari",,"gallida01","2009","2019",10,549,50.2,13.8,9,9,419,5,5,5,16,4.20713679359253,8,-2
2008,"Round 1",7,"LAC","Eric Gordon","Indiana","gordoer01","2009","2019",11,629,33.5,5.7,16,16,431,5,5,4,10,2.16794833886788,4,3
2008,"Round 1",8,"MIL","Joe Alexander","West Virginia","alexajo01","2009","2010",2,67,0.4,-0.2,42,38,395,5,5,5,27,9.79795897113271,11,-3
2008,"Round 1",9,"CHA","D.J. Augustin","Texas","augusdj01","2009","2019",11,807,41.8,2.5,12,21,409,5,5,8,15,2.77488738510232,10,-1
2008,"Round 1",10,"NJN","Brook Lopez","Stanford","lopezbr01","2009","2019",11,717,60.2,17,5,6,430,5,5,5,9,1.87082869338697,5,5
2008,"Round 1",11,"IND","Jerryd Bayless","Arizona","bayleje01","2009","2019",11,586,18.8,5.55111512312578e-17,26,30,420,5,5,3,25,9.08295106229247,7,4
2008,"Round 1",12,"SAC","Jason Thompson","Rider","thompja02","2009","2016",8,588,23.8,1.3,22,23,334,5,5,18,36,7.15541752799933,28,-16
2008,"Round 1",13,"POR","Brandon Rush","Kansas","rushbr01","2009","2017",9,481,11.2,0.8,30,25,355,5,5,13,29,6.78232998312527,19,-6
2008,"Round 1",14,"GSW","Anthony Randolph","Louisiana State","randoan01","2009","2014",6,252,5.8,-0.1,32,36,388,5,5,6,39,13.3529023062404,12,2
2008,"Round 1",15,"PHO","Robin Lopez","Stanford","lopezro01","2009","2019",11,766,42.8,9.4,11,14,351,5,5,14,38,9.25742944882649,20,-5
2008,"Round 1",16,"PHI","Marreese Speights","Florida","speigma01","2009","2018",10,705,25.8,-2.2,21,50,304,4,4,4,22,7.74596669241483,30,-14
2008,"Round 1",17,"TOR","Roy Hibbert","Georgetown","hibbero01","2009","2017",9,662,35.7,9.1,15,15,370,5,5,10,25,6.74536878161602,16,1
2008,"Round 1",18,"WAS","JaVale McGee","Nevada","mcgeeja01","2009","2019",11,633,31.9,5.2,18,17,340,5,5,17,44,10.8397416943394,25,-7
2008,"Round 1",19,"CLE","J.J. Hickson","NC State","hicksjj01","2009","2016",8,534,21.8,-0.8,24,46,342,5,5,19,36,6.76756972627545,24,-5
2008,"Round 1",20,"CHA","Alexis Ajinca",,"ajincal01","2009","2017",7,293,7.6,-0.5,31,42,345,5,5,11,36,9.66953980290686,22,-2
2008,"Round 1",21,"NJN","Ryan Anderson","California","anderry01","2009","2019",11,647,46.9,11.1,10,10,344,5,5,19,32,6.26099033699941,23,-2
2008,"Round 1",22,"ORL","Courtney Lee","Western Kentucky","leeco01","2009","2019",11,787,38.6,9.7,13,12,299,5,5,16,49,11.9457105272144,32,-10
2008,"Round 1",23,"UTA","Kosta Koufos","Ohio State","koufoko01","2009","2019",11,686,28.2,3.3,19,20,370,5,5,13,29,7.48331477354788,16,7
2008,"Round 1",24,"SEA","Serge Ibaka",,"ibakase01","2010","2019",10,753,63.9,14.4,4,8,338,5,5,15,43,10.5023806824929,26,-2
2008,"Round 1",25,"HOU","Nicolas Batum",,"batumni01","2009","2019",11,767,54.3,26.8,7,2,387,5,5,9,26,6.91375440697744,13,12
2008,"Round 1",26,"SAS","George Hill","Indiana University-Purdue University Indianapolis","hillge01","2009","2019",11,726,59.9,19,6,5,275,5,5,18,58,17.4785582929485,40,-14
2008,"Round 1",27,"NOH","Darrell Arthur","Kansas","arthuda01","2009","2018",9,503,12.5,0.3,29,29,380,5,5,8,27,7.24568837309472,15,12
2008,"Round 1",28,"MEM","Donte Greene","Syracuse","greendo01","2009","2012",4,253,1.6,-2,38,49,358,5,5,18,28,3.97492138287036,18,10
2008,"Round 1",29,"DET","D.J. White","Indiana","whitedj01","2009","2014",6,138,3.8,-0.7,35,43,278,5,5,34,44,4.4497190922574,39,-10
2008,"Round 1",30,"BOS","J.R. Giddens","New Mexico","giddejr01","2009","2010",2,38,0.1,-0.2,46,38,195,5,5,47,62,5.74456264653803,51,-21
2008,"Round 2",31,"MIN","Nikola Pekovic",,"pekovni01","2011","2016",6,271,18.8,2.1,26,22,312,5,5,26,33,2.70185121722126,29,2
2008,"Round 2",32,"SEA","Walter Sharpe","UAB","sharpwa01","2009","2009",1,8,-0.1,-0.1,49,36,64,3,3,59,99,20.0333056017556,82,-50
2008,"Round 2",33,"POR","Joey Dorsey","Memphis","dorsejo01","2009","2015",4,130,2.8,0.3,36,27,264,5,5,30,44,5.84807660688538,42,-9
2008,"Round 2",34,"MIN","Mario Chalmers","Kansas","chalmma01","2009","2018",9,646,32.3,9.6,17,13,336,5,5,12,34,8.25832912882503,27,7
2008,"Round 2",35,"LAC","DeAndre Jordan","Texas A&M","jordade01","2009","2019",11,819,83.5,24.3,2,4,381,5,5,9,28,7.3280283842245,14,21
2008,"Round 2",36,"POR","Omer Asik",,"asikom01","2011","2018",8,471,20.8,1.1,25,24,304,5,5,23,43,7.52994023880668,30,6
2008,"Round 2",37,"MIL","Luc Mbah a Moute","UCLA","mbahalu01","2009","2019",11,686,26,4.7,20,19,228,5,5,32,60,10.876580344943,46,-9
2008,"Round 2",38,"CHA","Kyle Weaver","Washington State","weaveky01","2009","2011",3,73,1.5,0.3,39,27,292,5,5,30,40,4.97995983919549,34,4
2008,"Round 2",39,"CHI","Sonny Weems","Arkansas","weemsso01","2009","2016",4,183,0.1,-1.9,45,48,214,4,4,44,56,5.68624070307733,47,-8
2008,"Round 2",40,"NJN","Chris Douglas-Roberts","Memphis","douglch01","2009","2015",6,222,5.4,-1,33,47,350,5,5,13,33,8.24621125123532,21,19
2008,"Round 2",41,"IND","Nathan Jawai",,"jawaina01","2009","2010",2,45,0.2,-0.3,44,41,291,5,5,27,41,5.21536192416212,35,6
2008,"Round 2",42,"SAC","Sean Singletary","Virginia","singlse01","2009","2009",1,37,0,-0.2,47,38,120,4,4,58,95,16.7928556237467,66,-24
2008,"Round 2",43,"SAC","Patrick Ewing","Georgetown","ewingpa02","2011","2011",1,7,-0.1,0,49,31,59,4,4,81,90,3.86221007541882,85,-42
2008,"Round 2",44,"UTA","Ante Tomic",,"tomican01",,,,,,,52,52,298,5,5,24,52,11.1265448365609,33,11
2008,"Round 2",45,"SAS","Goran Dragic",,"dragigo01","2009","2019",11,758,50.9,16.9,8,7,286,5,5,17,53,12.9305839001957,37,8
2008,"Round 2",46,"SEA","Trent Plaisted","BYU-Hawaii",,,,,,,,52,52,208,4,4,45,53,3.36650164612069,49,-3
2008,"Round 2",47,"WAS","Bill Walker","Kansas State","walkebi01","2009","2015",5,181,4.9,0.5,34,26,287,5,5,29,42,4.92950301754649,36,11
2008,"Round 2",48,"PHO","Malik Hairston","Oregon","hairsma01","2009","2010",2,62,0.8,0,41,31,183,4,4,48,61,6.7515430335097,55,-7
2008,"Round 2",49,"GSW","Richard Hendrix","Alabama",,,,,,,,52,52,279,5,5,15,51,13.6455120827325,38,11
2008,"Round 2",50,"SEA","DeVon Hardin","California","hardide01",,,,,,,52,52,245,5,5,38,51,5.09901951359278,44,6
2008,"Round 2",51,"DAL","Shan Foster","Vanderbilt",,,,,,,,52,52,178,4,4,45,65,8.38649708360608,57,-6
2008,"Round 2",52,"MIA","Darnell Jackson","Kansas","jacksda01","2009","2011",3,138,1.2,-0.7,40,43,109,4,4,69,80,4.85626742811116,68,-16
2008,"Round 2",53,"UTA","Tadija Dragicevic",,"dragita01",,,,,,,52,52,27,1,1,74,74,,107,-54
2008,"Round 2",54,"HOU","Maarty Leunen","Oregon","leunema01",,,,,,,52,52,67,4,4,60,87,13.7446959466795,80,-26
2008,"Round 2",55,"POR","Mike Taylor","Iowa State","taylomi01","2009","2009",1,51,-0.4,-0.7,51,43,185,4,4,37,51,6.84957419601151,53,2
2008,"Round 2",56,"SEA","Sasha Kaun","Kansas","kaunsa01","2016","2016",1,25,0.2,0,43,31,161,4,4,55,67,5.05799696849784,59,-3
2008,"Round 2",57,"SAS","James Gist","Maryland",,,,,,,,52,52,198,5,5,46,63,7.23187389270582,50,7
2008,"Round 2",58,"LAL","Joe Crawford","Kentucky","crawfjo01","2009","2009",1,2,0,0,47,31,95,4,4,58,94,16.3171688720807,71,-13
2008,"Round 2",59,"DET","Deron Washington","Virginia Tech",,,,,,,,52,52,25,1,1,76,76,,110,-51
2008,"Round 2",60,"BOS","Semih Erden",,"erdense01","2011","2012",2,69,1.8,0,37,31,233,4,4,37,54,7.8049129826454,45,15
2009,"Round 1",1,"LAC","Blake Griffin","Oklahoma","griffbl01","2011","2019",9,604,75.2,32.4,3,3,360,5,5,1,2,0.447213595499958,1,0
2009,"Round 1",2,"MEM","Hasheem Thabeet","Connecticut","thabeha01","2010","2014",5,224,4.8,0.3,32,30,318,5,5,4,27,9.81325634027768,6,-4
2009,"Round 1",3,"OKC","James Harden","Arizona State","hardeja01","2010","2019",10,765,121.8,59.9,1,1,347,5,5,1,6,2.16794833886788,2,1
2009,"Round 1",4,"SAC","Tyreke Evans","Memphis","evansty01","2010","2019",10,594,28.4,12.5,14,6,322,5,5,2,15,6.05805249234438,5,-1
