"year","title","title.id","genre","rating","votes","dir.sum","year.rk","actress","actress.id","actress.by","actress.age","actor","actor.id","actor.by","actor.age","diff"
1930,"Morocco","tt0021156","Drama, Romance",7.2,4950,"Josef von Sternberg [nm0903049]",1,"Marlene Dietrich","nm0000017",1901,29,"Gary Cooper","nm0000011",1901,29,0
1930,"The Big Trail","tt0020691","Adventure, Western, Romance",7.2,3081,"Raoul Walsh [nm0909825] | Louis R. Loeffler [nm0517264]",2,"Marguerite Churchill","nm0161451",1910,20,"John Wayne","nm0000078",1907,23,3
1930,"City Girl","tt0020768","Drama, Romance",7.8,2595,"F.W. Murnau [nm0003638]",3,"Mary Duncan","nm0242041",1895,35,"Charles Farrell","nm0268190",1900,30,-5
1930,"Anna Christie","tt0020641","Drama, Romance",6.7,2527,"Clarence Brown [nm0113284]",4,"Greta Garbo","nm0001256",1905,25,"Charles Bickford","nm0001948",1891,39,14
1930,"The Divorcee","tt0020827","Romance, Drama",6.8,2482,"Robert Z. Leonard [nm0502752]",5,"Norma Shearer","nm0790454",1902,28,"Chester Morris","nm0606431",1901,29,1
1930,"The Florodora Girl","tt0020891","Drama, Musical, Romance",7,1206,"Harry Beaumont [nm0064600]",6,"Marion Davies","nm0203836",1897,33,"Lawrence Gray","nm0336770",1898,32,-1
1930,"Monte Carlo","tt0021153","Comedy, Musical, Romance",6.9,1043,"Ernst Lubitsch [nm0523932]",7,"Jeanette MacDonald","nm0531776",1903,27,"Jack Buchanan","nm0118014",1891,39,12
1930,"The Unholy Three","tt0021505","Crime, Drama, Romance",6.8,948,"Jack Conway [nm0176699]",8,"Lila Lee","nm0497759",1901,29,"Elliott Nugent","nm0637790",1896,34,5
1930,"Whoopee!","tt0021549","Comedy, Musical, Romance",7,901,"Thornton Freeland [nm0293260]",9,"Ethel Shutta","nm0796023",1896,34,"Eddie Cantor","nm0134662",1892,38,4
1930,"Ladies of Leisure","tt0021040","Drama, Romance",6.7,897,"Frank Capra [nm0001008]",10,"Barbara Stanwyck","nm0001766",1907,23,"Ralph Graves","nm0336339",1900,30,7
1930,"The Criminal Code","tt0021770","Crime, Drama, Romance",7,832,"Howard Hawks [nm0001328]",11,"Constance Cummings","nm0191870",1910,20,"Phillips Holmes","nm0392004",1907,23,3
1930,"The Girl Said No","tt0020919","Comedy, Romance",6.7,765,"Sam Wood [nm0939992]",12,"Leila Hyams","nm0404885",1905,25,"William Haines","nm0354313",1900,30,5
1930,"Madam Satan","tt0021106","Musical, Romance, Comedy",6.6,718,"Cecil B. DeMille [nm0001124]",13,"Kay Johnson","nm0425512",1904,26,"Reginald Denny","nm0219666",1891,39,13
1930,"Raffles","tt0021281","Adventure, Crime, Drama",6.6,680,"George Fitzmaurice [nm0280463] | Harry d'Abbadie d'Arrast [nm0195496]",14,"Kay Francis","nm0290215",1905,25,"Ronald Colman","nm0172903",1891,39,14
1930,"Romance","tt0021310","Drama, Romance",6,622,"Clarence Brown [nm0113284]",15,"Greta Garbo","nm0001256",1905,25,"Gavin Gordon","nm0330200",1901,29,4
