"state","GEOID","NAME","type","c2010","c2000","c1990","c1980","c1970","c1960","c1950","c1940","c1930","c1920","c1910","c1900","c1890","c1880","c1870","c1860","c1850","c1840","c1830","c1820","c1810","c1800","c1790","simp.name"
"AK","11260","Anchorage, AK","Metropolitan Statistical Area",380821,319605,266021,192247,131051,88021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anchorage, AK"
"AK","21820","Fairbanks, AK","Metropolitan Statistical Area",97581,82840,77720,53983,45864,43412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fairbanks, AK"
"AK","27940","Juneau, AK","Micropolitan Statistical Area",31275,30711,26751,19528,13556,9745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Juneau, AK"
"AK","28540","Ketchikan, AK","Micropolitan Statistical Area",13477,14070,13828,11316,10041,10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ketchikan, AK"
"AL","10700","Albertville, AL","Micropolitan Statistical Area",93019,82231,70832,65622,54211,48018,45090,42395,39802,32669,28553,23289,18935,14585,9871,11472,8846,7553,0,0,0,0,0,"Albertville, AL"
"AL","10760","Alexander City, AL","Micropolitan Statistical Area",53155,53677,49889,50053,44502,45733,46840,48730,43648,44583,47668,45819,41366,38514,28908,43100,30127,13439,0,0,0,0,0,"Alexander City, AL"
"AL","11500","Anniston-Oxford, AL","Metropolitan Statistical Area",118572,112249,116034,119761,103092,95878,79539,63319,55611,47822,39115,34874,33835,19591,13980,21539,17163,14260,0,0,0,0,0,"Anniston, AL"
"AL","12120","Atmore, AL","Micropolitan Statistical Area",38319,38440,35518,38440,34906,33511,31443,30671,27963,22464,18889,11320,8666,5719,4041,0,0,0,0,0,0,0,0,"Atmore, AL"
"AL","12220","Auburn-Opelika, AL","Metropolitan Statistical Area",140247,115092,87146,76283,61268,49754,45073,36455,36063,32821,32867,31826,28694,27262,21750,0,0,0,0,0,0,0,0,"Auburn, AL"
"AL","13820","Birmingham-Hoover, AL","Metropolitan Statistical Area",1061024,981525,889174,861621,776829,757883,689861,593828,556958,431986,341574,241668,177040,90619,57531,58136,42690,32735,29073,12673,0,0,0,"Birmingham, AL"
"AL","18980","Cullman, AL","Micropolitan Statistical Area",80406,77483,67613,61642,52445,45572,49046,47343,41051,33034,28321,17849,13439,6355,0,0,0,0,0,0,0,0,0,"Cullman, AL"
"AL","19300","Daphne-Fairhope-Foley, AL","Metropolitan Statistical Area",182265,140415,98280,78556,59382,49088,40997,32324,28289,20730,18178,13194,8941,8603,6004,7530,4414,2951,2324,1713,1427,0,0,"Daphne, AL"
"AL","19460","Decatur, AL","Metropolitan Statistical Area",153829,145867,131556,120401,104587,84955,80052,76028,73118,64503,55765,48944,44814,37820,28845,25310,25383,23154,24046,5263,0,0,0,"Decatur, AL"
"AL","20020","Dothan, AL","Metropolitan Statistical Area",145639,130861,120352,114187,91752,88314,91095,96749,98859,88196,79587,55243,35537,23103,17150,14918,9019,5787,4020,2638,0,0,0,"Dothan, AL"
"AL","21460","Enterprise, AL","Micropolitan Statistical Area",49948,43615,40240,38533,34872,30583,30720,31987,32556,30070,26119,20972,12170,8119,6171,9623,5940,0,0,0,0,0,0,"Enterprise, AL"
