"Status","Franchise","Abbreviation","Team","Lg","From","To","City","State","lon","lat","COUNTYGEOID","COUNTY","CBSA.Code"
"active","Atlanta Hawks","ATL","Atlanta Hawks","NBA",1969,2020,"Atlanta","GA",-84.3879824,33.7489954,13121,"Fulton County",12060
"active","Atlanta Hawks","STL","St. Louis Hawks","NBA",1956,1968,"St. Louis","MO",-90.1994042,38.6270025,29510,"St. Louis city",41180
"active","Atlanta Hawks","MLH","Milwaukee Hawks","NBA",1952,1955,"Milwaukee","WI",-87.9064736,43.0389025,55079,"Milwaukee County",33340
"active","Atlanta Hawks","TRI","Tri-Cities Blackhawks","NBA",1950,1951,"Moline","IL",-90.5151342,41.5067003,17161,"Rock Island County",19340
"active","Boston Celtics","BOS","Boston Celtics","NBA",1947,2020,"Boston","MA",-71.0588801,42.3600825,25025,"Suffolk County",14460
"active","Brooklyn Nets","BRK","Brooklyn Nets","NBA",2013,2020,"Brooklyn","NY",-73.9441579,40.6781784,36047,"Kings County",35620
"active","Brooklyn Nets","NJN","New Jersey Nets","NBA",1978,2012,"East Rutherford","NJ",-74.1062582,40.8339964,34003,"Bergen County",35620
"active","Brooklyn Nets","NYN","New York Nets","NBA",1977,1977,"Uniondale","NY",-73.5929056,40.7003793,36059,"Nassau County",35620
"active","Brooklyn Nets","NYA","New York Nets","ABA",1969,1976,"Uniondale","NY",-73.5929056,40.7003793,36059,"Nassau County",35620
"active","Brooklyn Nets","NJA","New Jersey Americans","ABA",1968,1968,"Teaneck","NJ",-74.0116536,40.8932469,34003,"Bergen County",35620
"active","Charlotte Hornets","CHO","Charlotte Hornets","NBA",2015,2020,"Charlotte","NC",-80.8431267,35.2270869,37119,"Mecklenburg County",16740
"active","Charlotte Hornets","CHA","Charlotte Bobcats","NBA",2005,2014,"Charlotte","NC",-80.8431267,35.2270869,37119,"Mecklenburg County",16740
"active","Charlotte Hornets","CHH","Charlotte Hornets","NBA",1989,2002,"Charlotte","NC",-80.8431267,35.2270869,37119,"Mecklenburg County",16740
"active","Chicago Bulls","CHI","Chicago Bulls","NBA",1967,2020,"Chicago","IL",-87.6297982,41.8781136,17031,"Cook County",16980
"active","Cleveland Cavaliers","CLE","Cleveland Cavaliers","NBA",1971,2020,"Cleveland","OH",-81.6943605,41.49932,39035,"Cuyahoga County",17460
"active","Dallas Mavericks","DAL","Dallas Mavericks","NBA",1981,2020,"Dallas","TX",-96.7969879,32.7766642,48113,"Dallas County",19100
"active","Denver Nuggets","DEN","Denver Nuggets","NBA",1977,2020,"Denver","CO",-104.990251,39.7392358,8031,"Denver County",19740
"active","Denver Nuggets","DNA","Denver Nuggets","ABA",1975,1976,"Denver","CO",-104.990251,39.7392358,8031,"Denver County",19740
"active","Denver Nuggets","DNR","Denver Rockets","ABA",1968,1974,"Denver","CO",-104.990251,39.7392358,8031,"Denver County",19740
"active","Detroit Pistons","DET","Detroit Pistons","NBA",1958,2020,"Detroit","MI",-83.0457538,42.331427,26163,"Wayne County",19820
"active","Detroit Pistons","FTW","Fort Wayne Pistons","NBA",1949,1957,"Fort Wayne","IN",-85.1393513,41.079273,18003,"Allen County",23060
"active","Golden State Warriors","GSW","Golden State Warriors","NBA",1972,2020,"Oakland","CA",-122.2711137,37.8043637,6001,"Alameda County",41860
"active","Golden State Warriors","SFW","San Francisco Warriors","NBA",1963,1971,"Daly City","CA",-122.4776028,37.6855343,6081,"San Mateo County",41860
"active","Golden State Warriors","PHW","Philadelphia Warriors","NBA",1947,1962,"Philadelphia","PA",-75.1652215,39.9525839,42101,"Philadelphia County",37980
"active","Houston Rockets","HOU","Houston Rockets","NBA",1972,2020,"Houston","TX",-95.3698028,29.7604267,48201,"Harris County",26420
"active","Houston Rockets","SDR","San Diego Rockets","NBA",1968,1971,"San Diego","CA",-117.1610838,32.715738,6073,"San Diego County",41740
"active","Indiana Pacers","IND","Indiana Pacers","NBA",1977,2020,"Indianapolis","IN",-86.158068,39.768403,18097,"Marion County",26900
"active","Indiana Pacers","INA","Indiana Pacers","ABA",1968,1976,"Indianapolis","IN",-86.158068,39.768403,18097,"Marion County",26900
"active","Los Angeles Clippers","LAC","Los Angeles Clippers","NBA",1985,2020,"Los Angeles","CA",-118.2436849,34.0522342,6037,"Los Angeles County",31080
"active","Los Angeles Clippers","SDC","San Diego Clippers","NBA",1979,1984,"San Diego","CA",-117.1610838,32.715738,6073,"San Diego County",41740
"active","Los Angeles Clippers","BUF","Buffalo Braves","NBA",1971,1978,"Buffalo","NY",-78.8783689,42.8864468,36029,"Erie County",15380
"active","Los Angeles Lakers","LAL","Los Angeles Lakers","NBA",1961,2020,"Los Angeles","CA",-118.2436849,34.0522342,6037,"Los Angeles County",31080
