"raceId","year","round","circuitId","name","date","time","tz","circuitname","location","country","pdt","tz.dat","dt","hr","loc.hr","loc.mins","loc.hrmin","continent"
90,2004,1,1,"Australian Grand Prix",2004-03-07,"\N","Australia/Melbourne","Albert Park Grand Prix Circuit","Melbourne","Australia",,,,,,,,"Oceania"
91,2004,2,2,"Malaysian Grand Prix",2004-03-21,"\N","Asia/Kuala_Lumpur","Sepang International Circuit","Kuala Lumpur","Malaysia",,,,,,,,"Asia"
92,2004,3,3,"Bahrain Grand Prix",2004-04-04,"\N","Asia/Bahrain","Bahrain International Circuit","Sakhir","Bahrain",,,,,,,,"Asia"
93,2004,4,21,"San Marino Grand Prix",2004-04-25,"\N","Europe/Rome","Autodromo Enzo e Dino Ferrari","Imola","Italy",,,,,,,,"Europe"
94,2004,5,4,"Spanish Grand Prix",2004-05-09,"\N","Europe/Madrid","Circuit de Barcelona-Catalunya","Montmeló","Spain",,,,,,,,"Europe"
95,2004,6,6,"Monaco Grand Prix",2004-05-23,"\N","Europe/Monaco","Circuit de Monaco","Monte-Carlo","Monaco",,,,,,,,"Europe"
96,2004,7,20,"European Grand Prix",2004-05-30,"\N","Europe/Berlin","Nürburgring","Nürburg","Germany",,,,,,,,"Europe"
97,2004,8,7,"Canadian Grand Prix",2004-06-13,"\N","America/Montreal","Circuit Gilles Villeneuve","Montreal","Canada",,,,,,,,"Americas"
98,2004,9,19,"United States Grand Prix",2004-06-20,"\N","America/Indiana/Indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",,,,,,,,"Americas"
99,2004,10,8,"French Grand Prix",2004-07-04,"\N","Europe/Paris","Circuit de Nevers Magny-Cours","Magny Cours","France",,,,,,,,"Europe"
100,2004,11,9,"British Grand Prix",2004-07-11,"\N","Europe/London","Silverstone Circuit","Silverstone","UK",,,,,,,,"Europe"
101,2004,12,10,"German Grand Prix",2004-07-25,"\N","Europe/Berlin","Hockenheimring","Hockenheim","Germany",,,,,,,,"Europe"
102,2004,13,11,"Hungarian Grand Prix",2004-08-15,"\N","Europe/Budapest","Hungaroring","Budapest","Hungary",,,,,,,,"Europe"
103,2004,14,13,"Belgian Grand Prix",2004-08-29,"\N","Europe/Brussels","Circuit de Spa-Francorchamps","Spa","Belgium",,,,,,,,"Europe"
104,2004,15,14,"Italian Grand Prix",2004-09-12,"\N","Europe/Rome","Autodromo Nazionale di Monza","Monza","Italy",,,,,,,,"Europe"
105,2004,16,17,"Chinese Grand Prix",2004-09-26,"\N","Asia/Shanghai","Shanghai International Circuit","Shanghai","China",,,,,,,,"Asia"
106,2004,17,22,"Japanese Grand Prix",2004-10-10,"\N","Asia/Tokyo","Suzuka Circuit","Suzuka","Japan",,,,,,,,"Asia"
107,2004,18,18,"Brazilian Grand Prix",2004-10-24,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
108,2003,1,1,"Australian Grand Prix",2003-03-09,"\N","Australia/Melbourne","Albert Park Grand Prix Circuit","Melbourne","Australia",,,,,,,,"Oceania"
109,2003,2,2,"Malaysian Grand Prix",2003-03-23,"\N","Asia/Kuala_Lumpur","Sepang International Circuit","Kuala Lumpur","Malaysia",,,,,,,,"Asia"
110,2003,3,18,"Brazilian Grand Prix",2003-04-06,"\N","America/Sao_Paulo","Autódromo José Carlos Pace","São Paulo","Brazil",,,,,,,,"Americas"
