"sport","year","n","n_change","per_change"
"cbbm",1895,2,2,1
"cbbm",1896,5,4,0.8
"cbbm",1897,6,3,0.5
"cbbm",1898,10,6,0.6
"cbbm",1899,12,6,0.5
"cbbm",1900,13,8,0.615384615384615
"cbbm",1901,20,10,0.5
"cbbm",1902,29,18,0.620689655172414
"cbbm",1903,37,21,0.567567567567568
"cbbm",1904,39,19,0.487179487179487
"cbbm",1905,43,23,0.534883720930233
"cbbm",1906,65,37,0.569230769230769
"cbbm",1907,84,45,0.535714285714286
"cbbm",1908,95,45,0.473684210526316
"cbbm",1909,105,55,0.523809523809524
"cbbm",1910,110,52,0.472727272727273
"cbbm",1911,115,56,0.48695652173913
"cbbm",1912,126,60,0.476190476190476
"cbbm",1913,138,59,0.427536231884058
"cbbm",1914,139,58,0.41726618705036
"cbbm",1915,145,58,0.4
"cbbm",1916,153,49,0.320261437908497
"cbbm",1917,156,55,0.352564102564103
"cbbm",1918,150,60,0.4
"cbbm",1919,148,55,0.371621621621622
"cbbm",1920,164,92,0.560975609756098
"cbbm",1921,168,72,0.428571428571429
"cbbm",1922,168,61,0.363095238095238
"cbbm",1923,167,59,0.353293413173653
"cbbm",1924,169,60,0.355029585798817
"cbbm",1925,170,39,0.229411764705882
"cbbm",1926,168,50,0.297619047619048
"cbbm",1927,168,43,0.255952380952381
"cbbm",1928,167,34,0.203592814371257
"cbbm",1929,169,34,0.201183431952663
"cbbm",1930,169,29,0.171597633136095
"cbbm",1931,169,36,0.21301775147929
"cbbm",1932,166,25,0.150602409638554
"cbbm",1933,162,25,0.154320987654321
"cbbm",1934,159,29,0.182389937106918
"cbbm",1935,159,17,0.106918238993711
"cbbm",1936,157,33,0.210191082802548
"cbbm",1937,158,25,0.158227848101266
"cbbm",1938,158,18,0.113924050632911
"cbbm",1939,159,26,0.163522012578616
"cbbm",1940,158,21,0.132911392405063
"cbbm",1941,158,15,0.0949367088607595
"cbbm",1942,158,22,0.139240506329114
"cbbm",1943,160,59,0.36875
"cbbm",1944,128,39,0.3046875
"cbbm",1945,146,43,0.294520547945205
"cbbm",1946,160,59,0.36875
"cbbm",1947,165,65,0.393939393939394
"cbbm",1948,159,42,0.264150943396226
"cbbm",1949,147,21,0.142857142857143
"cbbm",1950,144,30,0.208333333333333
"cbbm",1951,152,35,0.230263157894737
"cbbm",1952,156,23,0.147435897435897
"cbbm",1953,158,27,0.170886075949367
"cbbm",1954,160,15,0.09375
"cbbm",1955,162,22,0.135802469135802
"cbbm",1956,166,25,0.150602409638554
"cbbm",1957,167,19,0.11377245508982
"cbbm",1958,173,20,0.115606936416185
"cbbm",1959,174,25,0.14367816091954
"cbbm",1960,175,26,0.148571428571429
"cbbm",1961,173,17,0.0982658959537572
"cbbm",1962,178,18,0.101123595505618
"cbbm",1963,178,25,0.140449438202247
"cbbm",1964,179,27,0.150837988826816
"cbbm",1965,180,17,0.0944444444444444
"cbbm",1966,182,26,0.142857142857143
"cbbm",1967,186,36,0.193548387096774
"cbbm",1968,190,29,0.152631578947368
"cbbm",1969,193,33,0.170984455958549
"cbbm",1970,196,32,0.163265306122449
"cbbm",1971,203,40,0.197044334975369
"cbbm",1972,212,48,0.226415094339623
"cbbm",1973,217,40,0.184331797235023
"cbbm",1974,232,61,0.262931034482759
"cbbm",1975,234,47,0.200854700854701
"cbbm",1976,234,36,0.153846153846154
"cbbm",1977,244,49,0.200819672131148
"cbbm",1978,253,48,0.189723320158103
"cbbm",1979,256,56,0.21875
"cbbm",1980,260,52,0.2
"cbbm",1981,264,47,0.178030303030303
"cbbm",1982,273,44,0.161172161172161
"cbbm",1983,274,42,0.153284671532847
"cbbm",1984,275,42,0.152727272727273
"cbbm",1985,282,34,0.120567375886525
"cbbm",1986,283,61,0.215547703180212
"cbbm",1987,290,73,0.251724137931034
"cbbm",1988,290,46,0.158620689655172
"cbbm",1989,293,48,0.16382252559727
"cbbm",1990,292,57,0.195205479452055
"cbbm",1991,295,48,0.16271186440678
"cbbm",1992,298,44,0.147651006711409
"cbbm",1993,298,38,0.12751677852349
"cbbm",1994,301,34,0.112956810631229
"cbbm",1995,302,62,0.205298013245033
"cbbm",1996,305,48,0.157377049180328
"cbbm",1997,305,50,0.163934426229508
"cbbm",1998,306,67,0.218954248366013
"cbbm",1999,310,50,0.161290322580645
"cbbm",2000,318,63,0.19811320754717
"cbbm",2001,318,58,0.182389937106918
"cbbm",2002,321,51,0.158878504672897
"cbbm",2003,325,49,0.150769230769231
"cbbm",2004,326,49,0.150306748466258
"cbbm",2005,326,42,0.128834355828221
"cbbm",2006,326,48,0.147239263803681
"cbbm",2007,325,62,0.190769230769231
"cbbm",2008,328,73,0.222560975609756
"cbbm",2009,330,48,0.145454545454545
"cbbm",2010,334,39,0.116766467065868
"cbbm",2011,345,65,0.188405797101449
"cbbm",2012,344,61,0.177325581395349
"cbbm",2013,347,55,0.15850144092219
"cbbm",2014,351,53,0.150997150997151
"cbbm",2015,351,48,0.136752136752137
"cbbm",2016,351,46,0.131054131054131
"cbbm",2017,351,55,0.156695156695157
"cbbm",2018,351,57,0.162393162393162
"cbbm",2019,353,58,0.164305949008499
"cbbm",2020,353,70,0.198300283286119
"cbbm",2021,347,35,0.100864553314121
"cbbm",2022,358,70,0.195530726256983
"cbbm",2023,363,76,0.209366391184573
"cfb",1919,87,87,1
"cfb",1920,87,38,0.436781609195402
"cfb",1921,92,28,0.304347826086957
"cfb",1922,100,34,0.34
"cfb",1923,102,32,0.313725490196078
"cfb",1924,101,23,0.227722772277228
"cfb",1925,99,25,0.252525252525253
"cfb",1926,92,22,0.239130434782609
"cfb",1927,94,21,0.223404255319149
"cfb",1928,95,20,0.210526315789474
"cfb",1929,95,19,0.2
"cfb",1930,99,23,0.232323232323232
"cfb",1931,103,22,0.213592233009709
"cfb",1932,112,25,0.223214285714286
"cfb",1933,117,25,0.213675213675214
"cfb",1934,115,24,0.208695652173913
"cfb",1935,118,21,0.177966101694915
"cfb",1936,120,21,0.175
"cfb",1937,122,25,0.204918032786885
"cfb",1938,118,14,0.11864406779661
"cfb",1939,119,21,0.176470588235294
"cfb",1940,118,22,0.186440677966102
"cfb",1941,113,22,0.194690265486726
"cfb",1942,108,35,0.324074074074074
"cfb",1943,66,20,0.303030303030303
"cfb",1944,85,23,0.270588235294118
"cfb",1945,94,25,0.265957446808511
"cfb",1946,118,55,0.466101694915254
"cfb",1947,118,32,0.271186440677966
"cfb",1948,116,26,0.224137931034483
"cfb",1949,117,22,0.188034188034188
"cfb",1950,118,26,0.220338983050847
