"confed","tourn","year","country","number","pos","player","bcountry","is_birth"
"afc","asian cup",2000,"IRN","1","GK","Mehdi Vaezi","IRN",TRUE
"afc","asian cup",2000,"IRN","2","MF","Mehdi Mahdavikia","IRN",TRUE
"afc","asian cup",2000,"IRN","3","DF","Mehdi Hasheminasab","IRN",TRUE
"afc","asian cup",2000,"IRN","5","DF","Sohrab Bakhtiarizadeh","IRN",TRUE
"afc","asian cup",2000,"IRN","6","MF","Karim Bagheri","IRN",TRUE
"afc","asian cup",2000,"IRN","7","MF","Hamed Kavianpour","IRN",TRUE
"afc","asian cup",2000,"IRN","8","MF","Sattar Hamedani","IRN",TRUE
"afc","asian cup",2000,"IRN","9","MF","Hamid Reza Estili","IRN",TRUE
"afc","asian cup",2000,"IRN","10","FW","Ali Daei","IRN",TRUE
"afc","asian cup",2000,"IRN","11","FW","Khodadad Azizi","IRN",TRUE
"afc","asian cup",2000,"IRN","12","GK","Parviz Broumand","IRN",TRUE
"afc","asian cup",2000,"IRN","13","MF","Davoud Seyed Abbasi","IRN",TRUE
"afc","asian cup",2000,"IRN","14","MF","Mohammad Navazi","IRN",TRUE
"afc","asian cup",2000,"IRN","15","MF","Esmail Halali","IRN",TRUE
"afc","asian cup",2000,"IRN","16","FW","Vahid Hashemian","IRN",TRUE
"afc","asian cup",2000,"IRN","17","MF","Alireza Emamifar","IRN",TRUE
"afc","asian cup",2000,"IRN","18","MF","Dariush Yazdani","IRN",TRUE
"afc","asian cup",2000,"IRN","19","MF","Ali Karimi","IRN",TRUE
"afc","asian cup",2000,"IRN","20","DF","Behrouz Rahbarifar","IRN",TRUE
"afc","asian cup",2000,"IRN","22","GK","Davoud Fanaei","IRN",TRUE
"afc","asian cup",2000,"IRN","25","MF","Mehrdad Minavand","IRN",TRUE
"afc","asian cup",2000,"IRN","28","DF","Mohammad Reza Mahdavi","IRN",TRUE
"afc","asian cup",2000,"IRQ","1","GK","Hashim Khamis","IRQ",TRUE
"afc","asian cup",2000,"IRQ","2","DF","Haidar Mahmoud","IRQ",TRUE
"afc","asian cup",2000,"IRQ","3","DF","Sadiq Saadoun","IRQ",TRUE
"afc","asian cup",2000,"IRQ","4","DF","Jabbar Hashim","IRQ",TRUE
"afc","asian cup",2000,"IRQ","5","DF","Hamza Hadi","IRQ",TRUE
"afc","asian cup",2000,"IRQ","6","DF","Ziyad Tariq","IRQ",TRUE
"afc","asian cup",2000,"IRQ","7","MF","Adnan Mohammad","IRQ",TRUE
"afc","asian cup",2000,"IRQ","8","FW","Husham Mohammed","IRQ",TRUE
"afc","asian cup",2000,"IRQ","9","FW","Ahmed Abdul-Jabar","IRQ",TRUE
"afc","asian cup",2000,"IRQ","10","MF","Abbas Obeid","IRQ",TRUE
"afc","asian cup",2000,"IRQ","11","FW","Sabah Jeayer","IRQ",TRUE
"afc","asian cup",2000,"IRQ","12","GK","Emad Hashim","IRQ",TRUE
"afc","asian cup",2000,"IRQ","13","MF","Abbas Rahim","IRQ",TRUE
"afc","asian cup",2000,"IRQ","14","MF","Essam Hamad","IRQ",TRUE
"afc","asian cup",2000,"IRQ","15","FW","Qahtan Chathir","IRQ",TRUE
"afc","asian cup",2000,"IRQ","16","DF","Haidar Obeid","IRQ",TRUE
"afc","asian cup",2000,"IRQ","17","MF","Ahmed Hussein","IRQ",TRUE
"afc","asian cup",2000,"IRQ","18","DF","Ahmed Kadhim","IRQ",TRUE
"afc","asian cup",2000,"IRQ","20","FW","Hussam Fawzi","IRQ",TRUE
"afc","asian cup",2000,"IRQ","21","GK","Amer Abdul-Wahab","IRQ",TRUE
"afc","asian cup",2000,"IRQ","22","DF","Mahir Habib","IRQ",TRUE
"afc","asian cup",2000,"IRQ","25","MF","Abdul-Wahab Abu Al-Hail","IRQ",TRUE
"afc","asian cup",2000,"LIB","1","GK","Ali Fakih","LIB",TRUE
"afc","asian cup",2000,"LIB","2","DF","Gurgen Engibaryan","ARM",FALSE
"afc","asian cup",2000,"LIB","3","DF","Youssef Mohamad","LIB",TRUE
"afc","asian cup",2000,"LIB","4","MF","Jadir Morgenstern","BRA",FALSE
"afc","asian cup",2000,"LIB","5","MF","Ahmad El Naamani","KSA",FALSE
"afc","asian cup",2000,"LIB","6","MF","Jamal Taha","EGY",FALSE
"afc","asian cup",2000,"LIB","7","MF","Abbas Chahrour","LIB",TRUE
"afc","asian cup",2000,"LIB","8","DF","Fouad Hijazi","LBR",FALSE
"afc","asian cup",2000,"LIB","9","FW","Haitham Zein","IRQ",FALSE
"afc","asian cup",2000,"LIB","10","MF","Moussa Hojeij","LIB",TRUE
"afc","asian cup",2000,"LIB","11","FW","Newton","BRA",FALSE
"afc","asian cup",2000,"LIB","12","FW","Gilberto","BRA",FALSE
"afc","asian cup",2000,"LIB","13","DF","Marcílio","BRA",FALSE
"afc","asian cup",2000,"LIB","14","FW","Vardan Ghazaryan","ARM",FALSE
"afc","asian cup",2000,"LIB","15","MF","Luís Fernandes","BRA",FALSE
"afc","asian cup",2000,"LIB","17","DF","Faisal Antar","SLE",FALSE
"afc","asian cup",2000,"LIB","18","DF","Mohamad Halawi","LIB",TRUE
"afc","asian cup",2000,"LIB","19","MF","Michael Reda","AUS",FALSE
"afc","asian cup",2000,"LIB","20","MF","Roda Antar","SLE",FALSE
"afc","asian cup",2000,"LIB","21","GK","Wahid El Fattal","LIB",TRUE
"afc","asian cup",2000,"LIB","22","GK","Ahmad Sakr","LIB",TRUE
"afc","asian cup",2000,"LIB","23","MF","Nasrat Al Jamal","LIB",TRUE
"afc","asian cup",2000,"THA","1","GK","Wirat Wangchan","THA",TRUE
"afc","asian cup",2000,"THA","2","DF","Tanongsak Prajakkata","THA",TRUE
"afc","asian cup",2000,"THA","3","DF","Niweat Siriwong","THA",TRUE
"afc","asian cup",2000,"THA","5","DF","Choketawee Promrut","THA",TRUE
"afc","asian cup",2000,"THA","6","MF","Anurak Srikerd","THA",TRUE
"afc","asian cup",2000,"THA","7","DF","Chukiat Noosarung","THA",TRUE
"afc","asian cup",2000,"THA","8","MF","Therdsak Chaiman","THA",TRUE
"afc","asian cup",2000,"THA","10","MF","Tawan Sripan","THA",TRUE
"afc","asian cup",2000,"THA","11","MF","Thawatchai Damrong-Ongtrakul","THA",TRUE
"afc","asian cup",2000,"THA","12","MF","Surachai Jaturapattarapong","THA",TRUE
"afc","asian cup",2000,"THA","14","FW","Worrawoot Srimaka","THA",TRUE
"afc","asian cup",2000,"THA","15","DF","Witthaya Nabthong","THA",TRUE
"afc","asian cup",2000,"THA","16","DF","Surachai Jirasirichote","THA",TRUE
"afc","asian cup",2000,"THA","17","DF","Dusit Chalermsan","THA",TRUE
"afc","asian cup",2000,"THA","18","GK","Pansa Meesatham","THA",TRUE
"afc","asian cup",2000,"THA","19","FW","Pipat Thonkanya","THA",TRUE
"afc","asian cup",2000,"THA","20","FW","Seksan Piturat","THA",TRUE
"afc","asian cup",2000,"THA","22","GK","Kittisak Rawangpa","THA",TRUE
"afc","asian cup",2000,"THA","23","FW","Sutee Suksomkit","THA",TRUE
"afc","asian cup",2000,"THA","24","DF","Thanunchai Baribarn","THA",TRUE
"afc","asian cup",2000,"THA","25","DF","Panupong Chimpook","THA",TRUE
"afc","asian cup",2000,"CHN","1","GK","Ou Chuliang","CHN",TRUE
"afc","asian cup",2000,"CHN","2","DF","Zhang Enhua","CHN",TRUE
"afc","asian cup",2000,"CHN","4","DF","Wu Chengying","CHN",TRUE
"afc","asian cup",2000,"CHN","5","DF","Fan Zhiyi","CHN",TRUE
"afc","asian cup",2000,"CHN","6","MF","Li Ming","CHN",TRUE
"afc","asian cup",2000,"CHN","8","MF","Li Tie","CHN",TRUE
"afc","asian cup",2000,"CHN","9","MF","Ma Mingyu","CHN",TRUE
"afc","asian cup",2000,"CHN","10","FW","Su Maozhen","CHN",TRUE
"afc","asian cup",2000,"CHN","11","FW","Xie Hui","CHN",TRUE
"afc","asian cup",2000,"CHN","12","FW","Qu Shengqing","CHN",TRUE
"afc","asian cup",2000,"CHN","13","DF","Chen Gang","CHN",TRUE
"afc","asian cup",2000,"CHN","14","DF","Li Weifeng","CHN",TRUE
"afc","asian cup",2000,"CHN","15","MF","Shen Si","CHN",TRUE
"afc","asian cup",2000,"CHN","16","MF","Xu Yang","CHN",TRUE
"afc","asian cup",2000,"CHN","18","MF","Li Xiaopeng","CHN",TRUE
"afc","asian cup",2000,"CHN","19","MF","Qi Hong","CHN",TRUE
"afc","asian cup",2000,"CHN","20","FW","Yang Chen","CHN",TRUE
"afc","asian cup",2000,"CHN","21","DF","Xu Yunlong","CHN",TRUE
"afc","asian cup",2000,"CHN","22","GK","Jiang Jin","CHN",TRUE
"afc","asian cup",2000,"CHN","23","GK","Fu Bin","CHN",TRUE
"afc","asian cup",2000,"CHN","27","MF","Shao Jiayi","CHN",TRUE
"afc","asian cup",2000,"CHN","29","MF","Huang Yong","CHN",TRUE
"afc","asian cup",2000,"IDN","1","GK","Hendro Kartiko","IDN",TRUE
"afc","asian cup",2000,"IDN","3","DF","Aji Santoso","IDN",TRUE
