"confed","tourn","year","date"
"afc","asian cup",2000,2000-10-12
"afc","asian cup",2004,2004-07-17
"afc","asian cup",2007,2007-07-07
"afc","asian cup",2011,2011-01-07
"afc","asian cup",2015,2015-01-09
"afc","asian cup",2019,2019-01-05
"afc","asian cup",2023,2024-01-12
"caf","cup of nations",2000,2000-01-22
"caf","cup of nations",2002,2002-01-19
"caf","cup of nations",2004,2004-01-24
"caf","cup of nations",2006,2006-01-20
"caf","cup of nations",2008,2008-01-20
"caf","cup of nations",2010,2010-01-10
"caf","cup of nations",2012,2012-01-21
"caf","cup of nations",2013,2013-01-19
"caf","cup of nations",2015,2015-01-17
"caf","cup of nations",2017,2017-01-14
"caf","cup of nations",2019,2019-06-21
"caf","cup of nations",2021,2022-01-09
"caf","cup of nations",2023,2024-01-13
"caf","cup of nations",2025,2025-12-21
"concacaf","gold cup",2000,2000-02-12
"concacaf","gold cup",2002,2002-01-18
"concacaf","gold cup",2003,2003-07-12
"concacaf","gold cup",2005,2005-07-06
"concacaf","gold cup",2007,2007-06-06
"concacaf","gold cup",2009,2009-07-03
"concacaf","gold cup",2011,2011-06-05
"concacaf","gold cup",2013,2013-07-07
"concacaf","gold cup",2015,2015-07-07
"concacaf","gold cup",2017,2017-07-07
"concacaf","gold cup",2019,2019-06-15
"concacaf","gold cup",2021,2021-07-10
"concacaf","gold cup",2023,2023-06-24
"concacaf","gold cup",2025,2025-06-14
"conmebol","copa america",1999,1999-06-29
"conmebol","copa america",2001,2001-07-11
"conmebol","copa america",2004,2004-07-06
"conmebol","copa america",2007,2007-06-26
"conmebol","copa america",2011,2011-07-01
"conmebol","copa america",2015,2015-06-11
"conmebol","copa america",2016,2016-06-03
"conmebol","copa america",2019,2019-06-14
"conmebol","copa america",2021,2021-06-13
"conmebol","copa america",2024,2024-06-20
"fifa","confederations cup",1999,1999-07-24
"fifa","confederations cup",2001,2001-05-30
"fifa","confederations cup",2003,2003-06-18
"fifa","confederations cup",2005,2005-06-15
"fifa","confederations cup",2009,2009-06-14
"fifa","confederations cup",2013,2013-06-15
"fifa","confederations cup",2017,2017-06-17
"fifa","world cup",1998,1998-06-10
"fifa","world cup",2002,2002-05-31
"fifa","world cup",2006,2006-06-09
"fifa","world cup",2010,2010-06-11
"fifa","world cup",2014,2014-06-12
"fifa","world cup",2018,2018-06-14
"fifa","world cup",2022,2022-11-20
"ofc","nations cup",1998,1998-09-25
"ofc","nations cup",2000,2000-06-19
"ofc","nations cup",2002,2002-07-05
"ofc","nations cup",2004,2004-05-29
"ofc","nations cup",2008,2007-10-17
"ofc","nations cup",2012,2012-06-01
"ofc","nations cup",2016,2016-05-28
"ofc","nations cup",2024,2024-06-15
"uefa","euro",2000,2000-06-10
"uefa","euro",2004,2004-06-12
"uefa","euro",2008,2008-06-07
"uefa","euro",2012,2012-06-08
"uefa","euro",2016,2016-06-10
"uefa","euro",2020,2021-06-11
"uefa","euro",2024,2024-06-14
