"Voter","Team.Aff","Role","13/14 All Defense","13/14 All NBA","13/14 All Rookie","13/14 Coach","13/14 Defensive","13/14 Improved","13/14 MVP","13/14 Rookie","13/14 Sixth Man","14/15 All Defense","14/15 All NBA","14/15 All Rookie","14/15 Coach","14/15 Defensive","14/15 Improved","14/15 MVP","14/15 Rookie","14/15 Sixth Man","15/16 All Defense","15/16 All NBA","15/16 All Rookie","15/16 Coach","15/16 Defensive","15/16 Improved","15/16 MVP","15/16 Rookie","15/16 Sixth Man","16/17 All Defense","16/17 All NBA","16/17 All Rookie","16/17 Coach","16/17 Defensive","16/17 Improved","16/17 MVP","16/17 Rookie","16/17 Sixth Man","17/18 All Defense","17/18 All NBA","17/18 All Rookie","17/18 Coach","17/18 Defensive","17/18 Improved","17/18 MVP","17/18 Rookie","17/18 Sixth Man","avg","n"
"Aaron Falk","UTA","writer",0,0,0.163934426229508,0,0,-0.00813008130081316,0,1.38842975206612,-0.0163934426229506,1.61111111111111,-0.00793650793650791,0.448818897637795,-0.0314960629921259,0.849206349206349,1.99206349206349,0,0,0,0.52755905511811,-0.0238095238095237,0.803149606299213,-0.015748031496063,-0.0787401574803148,-0.015748031496063,0,0,0,,,,,,,,,,,,,,,,,,,0.280972994466568,27
"Adam Himmelsbach","BOS","writer",,,,,,,,,,,,,,,,,,,,0.88,,,,0.595238095238095,0,0,0.777777777777778,,,,,,,,,,,,,,,,,,,0.450603174603175,5
"Adrian Chavarria","HOU","radio play-by-play (Spanish)",,,-0.00819672131147531,,-0.163934426229508,,0.549180327868853,0,0,-0.206349206349207,,,0.905511811023622,-0.00793650793650791,,,0,,0.905511811023622,1.33333333333333,0,,,,-0.0234375,,,,,,,,,,,,,,,,,,,,,0.252590993955595,13
"Ailene Voisin","SAC","writer",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.397959183673469,0,0,0,0,-0.204081632653061,0,0,0,0.918367346938776,0,0,0,0,0,0,0.0617913832199547,18
"Al Iannazzone","NYK","writer",,,0.380165289256198,,0,,-0.0247933884297522,-0.141666666666667,,,-0.00806451612903247,,0,,0,,,0,,-0.0162601626016259,-0.00806451612903247,,,,0,0.112903225806452,,,,,,,,,,,,,,,,,,,,0.0245182720922117,12
"Al McCoy","PHO","radio play-by-play",2.85833333333333,1.30327868852459,-0.00819672131147531,1.2396694214876,3,2.32520325203252,-0.0163934426229506,0,2.54098360655738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47143090422233,9
"Alan Horton","MIN","radio play-by-play",-0.166666666666667,0.622950819672131,1.24590163934426,0,0,0,-0.147540983606557,-0.0247933884297522,0,0,0,-0.0393700787401574,0,0,0,0,0.181102362204724,0,0.793650793650793,-0.28,0,0,0,-0.00793650793650791,0,0,-0.0238095238095237,,,,,,,,,,,,,,,,,,,0.0797588320623239,27
"Andre Aldridge","ATL","sideline reporter",,,,,,,,,,0.833333333333333,2.1031746031746,0,0.543307086614173,-0.00793650793650791,-0.0396825396825395,0,0,-0.00787401574803148,0.181102362204725,0.03968253968254,0,-0.00787401574803148,-0.118110236220472,-0.0236220472440944,0,0,-0.0866141732283463,,,,,,,,,,,,,,,,,,,0.189382577177853,18
"Andy Vasquez","BRK","writer",,,,,0,-0.0731707317073171,0,,-0.00819672131147531,0,,0.174603174603174,0,,,,0,,0,0,,0,,,0,,0,,,,,,,,,,,,,,,,,,,0.007171978583414,13
"Anthony Slater","OKC / GSW","writer",0.6,-0.19672131147541,0.491803278688525,-0.00826446280991755,,,0.0491803278688525,-0.00826446280991755,,-0.325396825396826,,,0,0,-0.00793650793650791,,0,-0.00787401574803148,-0.385826771653543,-0.166666666666667,,,0,-0.015748031496063,2,0,,1.46464646464646,0.212121212121212,-0.0808080808080809,-0.111111111111111,0.343434343434343,0,0.54,0,0.949494949494949,1.60204081632653,1.08163265306123,-0.0510204081632653,0,0.777777777777778,0,0.464646464646465,0,0,0.255864989777528,36
"Antonio Harvey","POR","radio color",,,,,,,,,,0.992063492063492,1.87301587301587,,-0.00787401574803148,0,1,,0,,,0.706349206349207,0,1.31496062992126,0,,-0.140625,0,-0.118110236220472,,,,,,,,,,,,,,,,,,,0.432290765337025,13
"Baxter Holmes","BOS","writer",,,1.05785123966942,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211570247933884,5
"Bill Land","SAS","TV play-by-play",1.88235294117647,0.454545454545454,0,1.1,1.9504132231405,1.97540983606557,-0.256198347107437,0,2.21487603305785,0.488,2.192,0,0.761904761904762,2.288,-0.00800000000000001,-0.0158730158730158,0,-0.0714285714285716,-0.53968253968254,0.584,-0.0317460317460316,-0.873015873015873,0.412698412698413,0.904761904761905,1.1496062992126,0,-0.0317460317460316,,,,,,,,,,,,,,,,,,,0.612254757628297,27
"Bill Oram","LAL / LAC","writer",,0,0.780487804878049,0,0,2,0,,-0.024390243902439,0,0,0.25,0,0,0,0,-0.015625,0,0,0,0.890625,0,0,0,0,-0.0078125,0,1.26262626262626,1.18181818181818,0.173469387755102,0,0,0,0,0,0,0,0,0.202020202020202,0,0,0.620000000000001,0,-0.0299999999999998,0,0.169377188260357,43
"Bill Schoening","SAS","radio play-by-play",-0.117647058823529,0.454545454545454,0,1.1,-0.049586776859504,0.975409836065574,-0.256198347107437,0,0.214876033057851,0.488,0.192,0,-0.238095238095238,1.288,-0.00800000000000001,-0.0158730158730158,0,-0.0714285714285716,0.46031746031746,0.584,-0.0317460317460316,-0.873015873015873,0.412698412698413,-0.0952380952380953,1.1496062992126,0,-0.0317460317460316,,,,,,,,,,,,,,,,,,,0.20484735022089,27
"Bill Wennington","CHI","radio color",2.15966386554622,0.338842975206612,,2.10833333333333,,,,,,,,,,-0.056,0.464,0,1.29365079365079,-0.198412698412698,0.531746031746032,-0.168,-0.103174603174603,0,,,,,,,,,,,,,,,,,,,,,,,,0.530887474824641,12
"Bill Worrell","HOU","TV play-by-play",1.9,2.22950819672131,,,,1.99186991869919,2.54918032786885,,,1.79365079365079,,,,1.99206349206349,1.96825396825397,,0,-0.0629921259842519,,,,0,1,,2.9765625,,0,,,,,,,,,,,,,,,,,,,1.41062285163641,13
"Bob Cooney","PHI","writer",-0.0083333333333333,0,-0.0327868852459017,0,0,0,0,0.214876033057851,0,-0.0317460317460316,0,,,-0.00793650793650791,-0.00793650793650791,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00900976906139777,14
"Bob Fitzgerald","GSW","TV play-by-play",,0.565573770491803,,-0.00826446280991755,1.68852459016393,1.98373983739837,0.614754098360656,,,2.16666666666667,1.08730158730159,0,,3.3015873015873,,,0,2.35433070866142,,,0,,-0.0708661417322836,1.37007874015748,-0.28125,,,,,,,,,,,,,,,,,,,,,0.984811779749801,15
"Bob Rathbun","ATL","TV play-by-play",0.983333333333333,0,0.532786885245902,0,0,-0.00813008130081316,0,0,0,2.83333333333333,1.1031746031746,0,0.543307086614173,-0.00793650793650791,1.96031746031746,0,0,-0.00787401574803148,1.18110236220472,1.03968253968254,0,-0.00787401574803148,1.88188976377953,-0.0236220472440944,0,0,0.913385826771654,,,,,,,,,,,,,,,,,,,0.478402834314066,27
"Brendan Brown","NYK","radio color",0,,,0,,0,-0.0247933884297522,,,,-0.00806451612903247,,,0,,,,0,-0.00806451612903247,-0.0162601626016259,,,,0,0,,,,,,,,,,,,,,,,,,,,,-0.00519841666267664,11
"Brett Dawson","OKC","writer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09183673469388,0.377551020408163,0,0,-0.262626262626263,1.78787878787879,-0.545454545454546,0,0,0.272131748322224,9
"Brian Davis","OKC","TV play-by-play",1.6,1.80327868852459,,,1.57377049180328,-0.0813008130081303,0.0491803278688525,-0.00826446280991755,0.729508196721311,1.67460317460317,0.976190476190476,-0.0708661417322833,0,,-0.00793650793650791,2.25196850393701,,-0.00787401574803148,0.614173228346457,0.833333333333333,,1,,,4,0,2.09448818897638,,,,,,,,,,,,,,,,,,,0.951212633453499,20
"Brian Lewis","BRK","writer",,,,,,,,,,,,,,,,,,,,1,-0.0158730158730158,0,,,0,0,,0,0,0.595959595959596,0,0,0,0,0,0,,,,,,,,,,0.112863327149041,14
