Abbreviation,name,hex1,hex2
ATL,Atlanta Hawks,#E13A3E,#C4D600
BOS,Boston Celtics,#008348,#BB9753
BRK,Brooklyn Nets,#061922,#FFFFFF
CHO,Charlotte Hornets,#1D1160,#008CA8
CHI,Chicago Bulls,#CE1141,#061922
CLE,Cleveland Cavaliers,#860038,#FDBB30
DAL,Dallas Mavericks,#007DC5,#C4CED3
DEN,Denver Nuggets,#4D90CD,#FDB927
DET,Detroit Pistons,#ED174C,#006BB6
GSW,Golden State Warriors,#FDB927,#006BB6
HOU,Houston Rockets,#CE1141,#C4CED3
IND,Indiana Pacers,#FFC633,#00275D
LAC,Los Angeles Clippers,#ED174C,#006BB6
LAL,Los Angeles Lakers,#FDB927,#552582
MEM,Memphis Grizzlies,#0F586C,#7399C6
MIA,Miami Heat,#98002E,#F9A01B
MIL,Milwaukee Bucks,#00471B,#F0EBD2
MIN,Minnesota Timberwolves,#005083,#00A94F
NOP,New Orleans Pelicans,#002B5C,#E31837
NYK,New York Knicks,#006BB6,#F58426
OKC,Oklahoma City Thunder,#007DC3,#F05133
ORL,Orlando Magic,#007DC5,#C4CED3
PHI,Philadelphia 76ers,#ED174C,#006BB6
PHO,Phoenix Suns,#E56020,#1D1160
POR,Portland Trail Blazers,#E03A3E,#BAC3C9
SAC,Sacramento Kings,#724C9F,#8E9090
SAS,San Antonio Spurs,#BAC3C9,#061922
TOR,Toronto Raptors,#CE1141,#061922
UTA,Utah Jazz,#002B5C,#F9A01B
WAS,Washington Wizards,#002B5C,#E31837
