"year","name","tot","n.all","n.used","hi","lo","sd","board.rk"
2008,"Davon Jefferson",265,5,5,24,49,10.4163333279998,41
2008,"Jamont Gordon",252,5,5,39,48,3.91152144312159,43
2008,"Gary Forbes",213,5,5,31,64,14.8761554173113,48
2008,"Bryce Taylor",193,4,4,40,60,8.77021474461525,52
2008,"Reggie Williams",184,5,5,40,66,10.4737767782209,54
2008,"Josh Duncan",183,4,4,41,69,13.8172597379751,55
2008,"Will Daniels",172,4,4,46,83,16.9901932498329,58
2008,"Anton Ponkrashov",159,4,4,52,73,9.03234926989282,60
2008,"Othello Hunter",157,4,4,53,69,8.46069343099804,61
2008,"Richard Roby",157,4,4,53,67,6.07590871118606,61
2008,"Pat Calathes",155,5,5,50,79,12.3895116933639,63
2008,"DeMarcus Nelson",140,4,4,48,86,15.5777619273972,64
2008,"Marcelus Kemp",130,4,4,57,87,13.7961347243833,65
2008,"Shawn James",112,4,4,35,77,18.9560896108172,67
2008,"Damjan Rudez",101,2,2,47,54,4.94974746830583,69
2008,"Mantas Kalnietis",97,3,3,64,75,5.68624070307733,70
2008,"Drew Neitzel",93,4,4,71,88,7.9320026895272,72
2008,"Keith Brumbaugh",93,3,3,67,75,4.35889894354067,72
2008,"Charles Rhodes",92,5,5,48,85,15.1426549851735,74
2008,"Aleks Maric",91,3,3,58,78,11.0151410945722,75
2008,"Brian Roberts",90,3,3,66,74,4.35889894354067,76
2008,"James Mays",76,3,3,68,82,7.09459888459759,77
2008,"David Padgett",75,4,4,62,98,16.1322658049017,78
2008,"Jaycee Carroll",73,3,3,60,85,14.4337567297406,79
2008,"Joseph Jones",66,5,5,57,90,14.6526448124562,81
2008,"Longar Longar",62,4,4,83,91,3.69684550213647,83
2008,"Mickell Gladness",60,2,2,60,82,15.556349186104,84
2008,"C.J. Giles",54,2,2,72,76,2.82842712474619,86
2008,"Uros Tripkovic",50,2,2,74,78,2.82842712474619,87
2008,"Kyle Hines",48,3,3,47,86,21.4553800556721,89
2008,"Tyrone Brazelton",48,2,2,71,83,8.48528137423857,89
2008,"Chris Lofton",46,5,5,49,98,20.1295802241378,92
2008,"Mark Tyndale",46,2,2,72,84,8.48528137423857,92
2008,"Peja Samardziski",46,2,2,76,80,2.82842712474619,92
2008,"Quan Prowell",45,2,2,66,91,17.6776695296637,95
2008,"Rodrigues Beaubois",45,1,1,56,56,,95
2008,"Brian Laing",40,2,2,73,89,11.3137084989848,97
2008,"John Riek",39,1,1,62,62,,98
2008,"Kentrell Gransberry",35,3,3,52,97,22.6495033058122,99
2008,"Marcus Dove",30,4,4,86,99,5.56776436283002,101
2008,"Rob McKiver",30,2,2,79,93,9.89949493661167,101
2008,"Jamar Butler",29,4,4,87,100,5.56027577253743,103
2008,"Chris Daniels",29,2,2,79,94,10.6066017177982,103
2008,"JaJuan Smith",29,1,1,72,72,,103
2008,"Russell Robinson",28,2,2,75,99,16.9705627484771,106
2008,"Justin Hawkins",27,1,1,74,74,,107
2008,"Bo McCalebb",26,4,4,88,100,5.5075705472861,109
2008,"Derrick Low",23,1,1,78,78,,111
2008,"Ronalds Zakis",23,1,1,78,78,,111
2008,"Brian Butch",21,1,1,80,80,,113
2008,"Mike Green",20,1,1,81,81,,114
2008,"Jawann McClellan",15,2,2,91,96,3.53553390593274,116
2008,"Takais Brown",13,1,1,88,88,,117
2008,"Geary Claxton",12,2,2,95,95,0,118
2008,"Frank Elegar",12,1,1,89,89,,118
2008,"Tyrelle Blair",12,1,1,89,89,,118
2008,"Stanley Burrell",11,1,1,90,90,,121
2008,"Mykal Riley",10,1,1,91,91,,122
2008,"Antoine Agudio",9,1,1,92,92,,123
2008,"Manuchar Markoishvili",8,1,1,93,93,,124
2008,"Novica Velickovic",8,1,1,93,93,,124
2008,"Bryant Dunston",7,1,1,54,54,,126
2008,"Dusan Sakota",6,1,1,95,95,,127
2008,"Haminn Quaintance",5,1,1,56,56,,128
2008,"Lorenzo Mata-Real",5,1,1,96,96,,128
2008,"Aaron Bruce",4,1,1,97,97,,130
2008,"Ramel Bradley",4,1,1,97,97,,130
2008,"Vladimir Gulubovic",4,1,1,97,97,,130
