"year","title","title.id","genre","rating","votes","dir.sum","gender","old.name","old.id","old.by","old.age","young.name","young.id","young.by","young.age","diff"
2010,"The Kids Are All Right","tt0842926","Comedy, Drama, Romance",7,121331,"Lisa Cholodenko [nm0158966]","F","Annette Bening","nm0000906",1958,52,"Julianne Moore","nm0000194",1960,50,2
2015,"Carol","tt2402927","Drama, Romance",7.2,102783,"Todd Haynes [nm0001331]","F","Cate Blanchett","nm0000949",1969,46,"Rooney Mara","nm1913734",1985,30,16
1999,"Boys Don't Cry","tt0171804","Biography, Crime, Drama",7.5,87698,"Kimberly Peirce [nm0005303]","F","Hilary Swank","nm0005476",1974,25,"Chloë Sevigny","nm0001721",1974,25,0
1996,"Bound","tt0115736","Crime, Romance, Thriller",7.3,47634,"Lana Wachowski [nm0905154] | Lilly Wachowski [nm0905152]","F","Jennifer Tilly","nm0000236",1958,38,"Gina Gershon","nm0000153",1962,34,4
2005,"Imagine Me & You","tt0421994","Comedy, Drama, Romance",6.8,27874,"Ol Parker [nm0662530]","F","Lena Headey","nm0372176",1973,32,"Piper Perabo","nm0005305",1976,29,3
1999,"But I'm a Cheerleader","tt0179116","Comedy, Drama, Romance",6.6,23723,"Jamie Babbit [nm0044803]","F","Clea DuVall","nm0245112",1977,22,"Natasha Lyonne","nm0005169",1979,20,2
2017,"Disobedience","tt6108178","Drama, Romance",6.6,19729,"SebastiÃÂ¡n Lelio [nm0133326]","F","Rachel Weisz","nm0001838",1970,47,"Rachel McAdams","nm1046097",1978,39,8
2001,"Lost and Delirious","tt0245238","Drama, Romance",6.9,19160,"LÃÂ©a Pool [nm0690794]","F","Piper Perabo","nm0005305",1976,25,"Jessica ParÃ©","nm0664175",1980,21,4
2004,"My Summer of Love","tt0382189","Drama, Romance",6.7,18655,"Pawel Pawlikowski [nm0667734]","F","Natalie Press","nm1461267",1980,24,"Emily Blunt","nm1289434",1983,21,3
1995,"Higher Learning","tt0113305","Crime, Drama, Romance",6.5,16998,"John Singleton [nm0005436]","F","Kristy Swanson","nm0001785",1969,26,"Jennifer Connelly","nm0000124",1970,25,1
2001,"Kissing Jessica Stein","tt0264761","Comedy, Drama, Romance",6.4,15418,"Charles Herman-Wurmfeld [nm0379237]","F","Jennifer Westfeldt","nm0922724",1970,31,"Heather Juergensen","nm0432013",1970,31,0
2004,"D.E.B.S.","tt0367631","Action, Comedy, Romance",5.2,13964,"Angela Robinson [nm1286340]","F","Jordana Brewster","nm0108287",1980,24,"Sara Foster","nm1246371",1981,23,1
2006,"Loving Annabelle","tt0323120","Drama, Romance",6.3,11163,"Katherine Brooks [nm0112085]","F","Diane Gaidry","nm0301157",1964,42,"Erin Kelly","nm1480430",1981,25,17
2015,"Freeheld","tt1658801","Biography, Drama, Romance",6.6,10749,"Peter Sollett [nm0813164]","F","Julianne Moore","nm0000194",1960,55,"Ellen Page","nm0680983",1987,28,27
1998,"High Art","tt0139362","Drama, Romance",6.6,9368,"Lisa Cholodenko [nm0158966]","F","Ally Sheedy","nm0000639",1962,36,"Radha Mitchell","nm0593664",1973,25,11
2004,"Saving Face","tt0384504","Comedy, Drama, Romance",7.4,9228,"Alice Wu [nm1226108]","F","Michelle Krusiec","nm0472891",1974,30,"Lynn Chen","nm1187181",1976,28,2
2016,"Below Her Mouth","tt5073620","Drama, Romance",5.5,8072,"April Mullen [nm0611983]","F","Natalie Krill","nm2087783",1983,33,"Erika Linder","nm7621162",1990,26,7
1995,"When Night Is Falling","tt0114916","Drama, Romance",6.5,6229,"Patricia Rozema [nm0005390]","F","Pascale BussiÃ¨res","nm0124481",1968,27,"Rachael Crawford","nm0006692",1969,26,1
1996,"Fire","tt0116308","Drama, Romance",7.2,5382,"Deepa Mehta [nm0576548]","F","Shabana Azmi","nm0000818",1950,46,"Nandita Das","nm0201903",1969,27,19
1995,"The Incredibly True Adventure of Two Girls in Love","tt0113416","Comedy, Drama, Romance",6.5,4074,"Maria Maggenti [nm0535940]","F","Nicole Ari Parker","nm0662519",1970,25,"Laurel Holloman","nm0391274",1971,24,1
2014,"Boy Meets Girl","tt3007302","Comedy, Drama, Romance",7.1,3930,"Eric Schaeffer [nm0769703]","F","Alexandra Turshen","nm4078666",1986,28,"Michelle Hendley","nm5956399",1991,23,5
2012,"A Perfect Ending","tt1823059","Drama, Romance",5.7,3491,"Nicole Conn [nm0174903]","F","Barbara Niven","nm0018271",1953,59,"Jessica Clark","nm3708145",1985,27,32
2016,"Lovesong","tt4305148","Drama, Romance",6.3,3366,"So Yong Kim [nm0811611]","F","Jena Malone","nm0540441",1984,32,"Riley Keough","nm2142336",1989,27,5
2016,"First Girl I Loved","tt4262174","Drama, Romance",6.1,2575,"Kerem Sanga [nm2596636]","F","Dylan Gelula","nm3871647",1994,22,"Brianna Hildebrand","nm6552202",1996,20,2
2010,"The Four-Faced Liar","tt1174693","Comedy, Drama, Romance",5.7,2397,"Jacob Chase [nm0153774]","F","Emily Peck","nm2764828",1984,26,"Marja-Lewis Ryan","nm2903680",1985,25,1
2014,"Anatomy of a Love Seen","tt3546114","Drama, Romance",4.7,2282,"Marina Rice Bader [nm3742962]","F","Jill Evyn","nm3458185",1984,30,"Sharon Hinnendael","nm3165623",1986,28,2
2006,"Puccini for Beginners","tt0492481","Comedy, Romance",6,2242,"Maria Maggenti [nm0535940]","F","Julianne Nicholson","nm0629855",1971,35,"Elizabeth Reaser","nm0714147",1975,31,4
2018,"Duck Butter","tt6958014","Comedy, Drama, Romance",5.3,2126,"Miguel Arteta [nm0037708]","F","Laia Costa","nm4663937",1985,33,"Alia Shawkat","nm0790057",1989,29,4
2015,"Bare","tt3741316","Drama, Romance",5.2,2022,"Natalia Leite [nm3399862]","F","Paz de la Huerta","nm0209289",1984,31,"Dianna Agron","nm1872698",1986,29,2
2011,"Cloudburst","tt1466054","Adventure, Comedy, Drama",7.2,1741,"Thom Fitzgerald [nm0280396]","F","Olympia Dukakis","nm0001156",1931,80,"Brenda Fricker","nm0002084",1945,66,14
2009,"And Then Came Lola","tt1123894","Comedy, Drama, Romance",4,1502,"Ellen Seidler [nm2804620] | Megan Siler [nm0797962]","F","Jill Bennett","nm0071825",1975,34,"Ashleigh Sumner","nm1404553",1979,30,4
1983,"Lianna","tt0085838","Drama, Romance",6.7,1477,"John Sayles [nm0000626]","F","Jane Hallaren","nm0356284",1940,43,"Linda Griffiths","nm0341710",1956,27,16
2017,"The Feels","tt5831402","Comedy, Romance",5.2,1225,"JenÃÂ©e LaMarque [nm2534923]","F","Angela Trimbur","nm1640326",1981,36,"Constance Wu","nm2090422",1982,35,1
2017,"Allure","tt6215208","Drama, Romance, Thriller",4.9,1154,"Carlos Sanchez [nm8558869] | Jason Sanchez [nm8558870]","F","Evan Rachel Wood","nm0939697",1987,30,"Julia Sarah Stone","nm3817466",1997,20,10
2018,"Vita & Virginia","tt5859882","Biography, Drama, Romance",5.5,721,"Chanya Button [nm4800248]","F","Gemma Arterton","nm2605345",1986,32,"Elizabeth Debicki","nm4456120",1990,28,4
2017,"Becks","tt6150942","Drama, Musical, Romance",6.4,673,"Daniel Powell [nm1545689] | Elizabeth Rohrbaugh [nm1213867]","F","Mena Suvari","nm0002546",1979,38,"Lena Hall","nm2969015",1980,37,1
2001,"Julie Johnson","tt0239509","Drama, Romance",6,617,"Bob Gosse [nm0331606]","F","Courtney Love","nm0001482",1964,37,"Lili Taylor","nm0000666",1967,34,3
2013,"Tru Love","tt2634384","Drama, Romance",6.5,578,"Kate Johnston [nm4468385] | Shauna MacDonald [nm0531932]","F","Kate Trotter","nm0873693",1953,60,"Shauna MacDonald","nm0531932",1970,43,17
1993,"Desperate Remedies","tt0106709","Comedy, Drama, Music",6.6,354,"Stewart Main [nm0537695] | Peter Wells [nm0920375]","F","Jennifer Ward-Lealand","nm0911943",1962,31,"Lisa Chappell","nm0152615",1968,25,6
1994,"Great Moments in Aviation","tt0107042","Comedy, Drama, Mystery",6.5,198,"Beeban Kidron [nm0452319]","F","Dorothy Tutin","nm0878302",1930,64,"Vanessa Redgrave","nm0000603",1937,57,7
2005,"Brokeback Mountain","tt0388795","Drama, Romance",7.7,303096,"Ang Lee [nm0000487]","M","Heath Ledger","nm0005132",1979,26,"Jake Gyllenhaal","nm0350453",1980,25,1
2017,"Call Me by Your Name","tt5726616","Drama, Romance",7.9,161080,"Luca Guadagnino [nm0345174]","M","Armie Hammer","nm2309517",1986,31,"Timothée Chalamet","nm3154303",1995,22,9
2011,"J. Edgar","tt1616195","Biography, Crime, Drama",6.5,116885,"Clint Eastwood [nm0000142]","M","Leonardo DiCaprio","nm0000138",1974,37,"Armie Hammer","nm2309517",1986,25,12
2009,"A Single Man","tt1315981","Drama, Romance",7.6,100356,"Tom Ford [nm1053530]","M","Colin Firth","nm0000147",1960,49,"Matthew Goode","nm0328828",1978,31,18
2009,"I Love You Phillip Morris","tt1045772","Biography, Comedy, Crime",6.6,87879,"Glenn Ficarra [nm0275629] | John Requa [nm0720135]","M","Jim Carrey","nm0000120",1962,47,"Ewan McGregor","nm0000191",1971,38,9
1992,"The Crying Game","tt0104036","Crime, Drama, Romance",7.2,47889,"Neil Jordan [nm0001403]","M","Stephen Rea","nm0001653",1946,46,"Jaye Davidson","nm0001109",1968,24,22
2013,"Behind the Candelabra","tt1291580","Biography, Drama, Romance",7,38252,"Steven Soderbergh [nm0001752]","M","Michael Douglas","nm0000140",1944,69,"Matt Damon","nm0000354",1970,43,26
1997,"In & Out","tt0119360","Comedy, Romance",6.4,36452,"Frank Oz [nm0000568]","M","Tom Selleck","nm0000633",1945,52,"Kevin Kline","nm0000177",1947,50,2
2013,"Kill Your Darlings","tt1311071","Biography, Drama, Romance",6.5,33033,"John Krokidas [nm1045865]","M","Michael C. Hall","nm0355910",1971,42,"Dane DeHaan","nm2851530",1986,27,15
