"STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","lon","lat"
"31","039","00835841","31039","Cuming","Cuming County","06","H1","G4020",,,,"A","1477652222","10690952","+41.9158651","-096.7885168",-96.7874004069829,41.9164028259706
"53","069","01513275","53069","Wahkiakum","Wahkiakum County","06","H1","G4020",,,,"A","680962890","61582307","+46.2946377","-123.4244583",-123.433469913622,46.2911338139898
"35","011","00933054","35011","De Baca","De Baca County","06","H1","G4020",,,,"A","6016819475","29089486","+34.3592729","-104.3686961",-104.411957887647,34.3424135137613
"31","109","00835876","31109","Lancaster","Lancaster County","06","H1","G4020","339","30700",,"A","2169270569","22849484","+40.7835474","-096.6886584",-96.6877555069904,40.7841735523189
"31","129","00835886","31129","Nuckolls","Nuckolls County","06","H1","G4020",,,,"A","1489645188","1718484","+40.1764918","-098.0468422",-98.0471849896736,40.1763796295172
"72","085","01804523","72085","Las Piedras","Las Piedras Municipio","13","H1","G4020","490","41980",,"A","87748359","32509","+18.1871483","-065.8711890",-65.8693174114524,18.1875265182101
"46","099","01265772","46099","Minnehaha","Minnehaha County","06","H1","G4020",,"43620",,"A","2089691755","18198481","+43.6674723","-096.7957261",-96.7914365083788,43.6741782318038
"48","327","01383949","48327","Menard","Menard County","06","H1","G4020",,,,"A","2336237982","613559","+30.8852677","-099.8588613",-99.8206358613257,30.889782006928
"06","091","00277310","06091","Sierra","Sierra County","06","H1","G4020",,,,"A","2468694583","23299110","+39.5769252","-120.5219926",-120.51599637821,39.5804001016287
"21","053","00516873","21053","Clinton","Clinton County","06","H1","G4020",,,,"A","510875755","21152699","+36.7272577","-085.1360977",-85.1360135601808,36.727481625474
"39","063","01074044","39063","Hancock","Hancock County","06","H1","G4020","534","22300",,"A","1376125660","6020647","+41.0004711","-083.6660335",-83.6665354077431,41.0019383750188
"48","189","01383880","48189","Hale","Hale County","06","H1","G4020","352","38380",,"A","2602109427","246678","+34.0684364","-101.8228879",-101.82688130031,34.0705125102241
"01","027","00161539","01027","Clay","Clay County","06","H1","G4020",,,,"A","1564251834","5285207","+33.2703999","-085.8635254",-85.8605470840657,33.2690858672505
