"id","Player","start","end","seasons","G","WS","All.NBA.tot","All NBA-1","All NBA-2","All NBA-3","AS NBA","bs.rk","slam.rk","missed","First","Quarters","Semis","Finals","Champ","closest.series.cnt","games.away.min","closest.lab","simp.lab"
"abdelal01","Alaa Abdelnaby",1991,1995,5,256,4.8,0,0,0,0,0,,,2,1,0,1,1,0,1,2,"1992: Chicago Bulls (4) - Portland Trail Blazers (2)","1992: Chicago Bulls"
"abdulka01","Kareem Abdul-Jabbar",1970,1989,20,1560,273.3,15,10,5,0,19,3,7,2,2,2,4,4,6,,,,
"abdulma01","Walt Hazzard",1965,1974,10,724,30.1,0,0,0,0,1,,359,3,0,2,3,2,0,1,1,"1966: Boston Celtics (4) - Los Angeles Lakers (3)","1966: Boston Celtics"
"abdulma02","Mahmoud Abdul-Rauf",1991,2001,9,586,25.1,0,0,0,0,0,,351,7,1,1,0,0,0,1,1,"1994: Utah Jazz (4) - Denver Nuggets (3)","1994: Utah Jazz"
"abdulta01","Tariq Abdul-Wahad",1998,2003,6,236,3.4,0,0,0,0,0,,,4,1,0,1,0,0,1,2,"2003: San Antonio Spurs (4) - Dallas Mavericks (2)","2003: San Antonio Spurs"
"abdulza01","Zaid Abdul-Aziz",1969,1978,10,505,17.6,0,0,0,0,0,,451,7,0,2,1,0,0,1,3,"1970: New York Knicks (4) - Milwaukee Bucks (1)","1970: New York Knicks"
"abdursh01","Shareef Abdur-Rahim",1997,2008,12,830,71.1,0,0,0,0,1,,257,11,1,0,0,0,0,1,2,"2006: San Antonio Spurs (4) - Sacramento Kings (2)","2006: San Antonio Spurs"
"abernto01","Tom Abernethy",1977,1981,5,319,13.3,0,0,0,0,0,,,3,1,0,1,0,0,1,4,"1977: Portland Trail Blazers (4) - Los Angeles Lakers (0)","1977: Portland Trail Blazers"
"ablefo01","Forest Able",1957,1957,1,1,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"abramjo01","John Abramovic",1947,1948,2,56,-2,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"abrinal01","Álex Abrines",2017,2019,3,174,4.9,0,0,0,0,0,,,1,2,0,0,0,0,1,2,"2018: Utah Jazz (4) - Oklahoma City Thunder (2)","2018: Utah Jazz"
"ackeral01","Alex Acker",2006,2009,2,30,-0.2,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"ackerdo01","Don Ackerman",1954,1954,1,28,-0.6,0,0,0,0,0,,,0,0,1,0,0,0,,,,
"acresma01","Mark Acres",1988,1993,6,375,9.4,0,0,0,0,0,,,4,1,0,1,0,0,1,2,"1988: Detroit Pistons (4) - Boston Celtics (2)","1988: Detroit Pistons"
"actonbu01","Bud Acton",1968,1968,1,23,0.1,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"acyqu01","Quincy Acy",2013,2019,7,337,8.6,0,0,0,0,0,,,7,0,0,0,0,0,,,,
"adamsal01","Alvan Adams",1976,1988,13,988,73.4,0,0,0,0,1,,205,4,3,3,2,1,0,1,2,"1976: Boston Celtics (4) - Phoenix Suns (2)","1976: Boston Celtics"
"adamsdo01","Don Adams",1971,1977,7,487,10.5,0,0,0,0,0,,,4,0,3,0,0,0,1,1,"1974: Chicago Bulls (4) - Detroit Pistons (3)","1974: Chicago Bulls"
"adamsha01","Hassan Adams",2007,2009,2,73,0.8,0,0,0,0,0,,,1,0,1,0,0,0,1,2,"2007: Cleveland Cavaliers (4) - New Jersey Nets (2)","2007: Cleveland Cavaliers"
"adamsja01","Jaylen Adams",2019,2019,1,34,0.1,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"adamsjo01","Jordan Adams",2015,2016,2,32,0.4,0,0,0,0,0,,,1,0,1,0,0,0,1,2,"2015: Golden State Warriors (4) - Memphis Grizzlies (2)","2015: Golden State Warriors"
"adamsmi01","Michael Adams",1986,1996,11,653,47,0,0,0,0,1,,334,6,4,1,0,0,0,1,2,"1988: Dallas Mavericks (4) - Denver Nuggets (2)","1988: Dallas Mavericks"
"adamsst01","Steven Adams",2014,2019,6,467,38.8,0,0,0,0,0,,,1,3,0,2,0,0,1,1,"2016: Golden State Warriors (4) - Oklahoma City Thunder (3)","2016: Golden State Warriors"
"addisra01","Rafael Addison",1987,1997,6,379,4.9,0,0,0,0,0,,,4,2,0,0,0,0,1,1,"1993: Cleveland Cavaliers (3) - New Jersey Nets (2)","1993: Cleveland Cavaliers"
"adebaba01","Bam Adebayo",2018,2019,2,151,11,0,0,0,0,1,,,1,1,0,0,0,0,1,3,"2018: Philadelphia 76ers (4) - Miami Heat (1)","2018: Philadelphia 76ers"
"adelde01","Deng Adel",2019,2019,1,19,-0.2,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"adelmri01","Rick Adelman",1969,1975,7,462,10,0,0,0,0,0,,,4,0,2,1,0,0,1,4,"1974: Milwaukee Bucks (4) - Chicago Bulls (0)","1974: Milwaukee Bucks"
"adrieje01","Jeff Adrien",2011,2015,5,153,4.4,0,0,0,0,0,,,5,0,0,0,0,0,,,,
"afflaar01","Arron Afflalo",2008,2018,11,762,33.6,0,0,0,0,0,,,5,5,0,1,0,0,1,2,"2008: Boston Celtics (4) - Detroit Pistons (2)","2008: Boston Celtics"
"agerma01","Maurice Ager",2007,2011,4,82,-1,0,0,0,0,0,,,3,1,0,0,0,0,1,2,"2007: Golden State Warriors (4) - Dallas Mavericks (2)","2007: Golden State Warriors"
"aguirma01","Mark Aguirre",1982,1994,13,923,68,0,0,0,0,3,,187,4,3,2,2,0,2,,,,
"ahearbl01","Blake Ahearn",2008,2012,3,19,-0.1,0,0,0,0,0,,,2,1,0,0,0,0,1,4,"2012: San Antonio Spurs (4) - Utah Jazz (0)","2012: San Antonio Spurs"
"aingeda01","Danny Ainge",1982,1995,14,1042,71.5,0,0,0,0,1,,320,2,0,3,3,4,2,,,,
"ajincal01","Alexis Ajinça",2009,2017,7,293,7.6,0,0,0,0,0,,,6,1,0,0,0,0,1,4,"2015: Golden State Warriors (4) - New Orleans Pelicans (0)","2015: Golden State Warriors"
"akinhe01","Henry Akin",1967,1968,2,86,-1.3,0,0,0,0,0,,,1,0,1,0,0,0,1,2,"1967: Boston Celtics (3) - New York Knicks (1)","1967: Boston Celtics"
"akognjo01","Josh Akognon",2013,2013,1,3,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
