"sport","fran_id","year","season.order","lg","coach","coach_id","g","coach_g","coach_dur","weight","change","stint_id","cum_season","coach_tag","g_no_tie","fran_id_fix","season","g_final","fran_id_final","min_yr","max_yr","team"
"cbbm","geneva",1893,1,"Ind","Unknown",,1,,,,TRUE,2,,,,,,1,"geneva",1893,1893,"Geneva Golden Tornadoes"
"cbbm","iowa",1893,1,"Ind","Unknown",,2,,,,TRUE,27,,,,,,2,"iowa",1893,1893,"Iowa"
"cbbm","hiram",1894,1,"Ind","Unknown",,1,,,,TRUE,2,,,,,,1,"hiram",1894,1894,"Hiram Terriers"
"cbbm","drexel",1895,1,"Ind","John Gray (7-2)","john-gray-1",9,9,1,1,TRUE,5,1,,,,,9,"drexel",1895,1895,"Drexel"
"cbbm","allegheny",1896,1,"Ind",,,2,,,,TRUE,4,,,,,,2,"allegheny",1896,1896,"Allegheny Gators"
"cbbm","bloomsburg",1896,1,"Ind","Unknown",,7,,,,TRUE,5,,,,,,7,"bloomsburg",1896,1896,"Bloomsburg Huskies"
"cbbm","central-pennsylvania-college",1896,1,"Ind","Unknown",,2,,,,TRUE,1,,,,,,2,"central-pennsylvania-college",1896,1896,"Central Pennsylvania College Knights"
"cbbm","chicago",1896,1,"Ind","Unknown",,7,,,,TRUE,9,,,,,,7,"chicago",1896,1896,"Chicago Maroons"
"cbbm","drexel",1896,2,"Ind","F. Knight (0-1)","f-knight-1",1,1,1,1,TRUE,4,1,,,,,1,"drexel",1896,1896,"Drexel"
"cbbm","iowa",1896,2,"Ind","Unknown",,7,,,,TRUE,28,,,,,,7,"iowa",1896,1896,"Iowa"
"cbbm","macalester",1896,1,"Ind","Unknown",,4,,,,TRUE,1,,,,,,4,"macalester",1896,1896,"Macalester Scots"
"cbbm","minnesota",1896,1,"Ind",,,8,,,,TRUE,20,,,,,,8,"minnesota",1896,1896,"Minnesota"
"cbbm","minnesota-am",1896,1,"Ind","Unknown",,12,,,,TRUE,1,,,,,,12,"minnesota-am",1896,1896,"Minnesota A&M Aggies"
"cbbm","mount-union",1896,1,"Ind","(unknown) Johns (3-1)","unknown-johns-1",4,4,1,1,TRUE,11,1,,,,,4,"mount-union",1896,1896,"Mount Union Purple Raiders"
