"sport","year","teams","n_team_change","per_change"
"cbbm",1895,2,0,0
"cbbm",1896,5,0,0
"cbbm",1897,6,0,0
"cbbm",1898,10,0,0
"cbbm",1899,12,0,0
"cbbm",1900,13,0,0
"cbbm",1901,20,0,0
"cbbm",1902,29,0,0
"cbbm",1903,37,1,0.027027027027027
"cbbm",1904,39,1,0.0256410256410256
"cbbm",1905,43,0,0
"cbbm",1906,65,0,0
"cbbm",1907,84,0,0
"cbbm",1908,95,0,0
"cbbm",1909,105,0,0
"cbbm",1910,110,0,0
"cbbm",1911,115,0,0
"cbbm",1912,126,0,0
"cbbm",1913,138,0,0
"cbbm",1914,139,0,0
"cbbm",1915,145,1,0.00689655172413793
"cbbm",1916,153,0,0
"cbbm",1917,156,0,0
"cbbm",1918,150,0,0
"cbbm",1919,148,0,0
"cbbm",1920,164,2,0.0121951219512195
"cbbm",1921,168,1,0.00595238095238095
"cbbm",1922,168,0,0
"cbbm",1923,167,1,0.00598802395209581
"cbbm",1924,169,0,0
"cbbm",1925,170,0,0
"cbbm",1926,168,0,0
"cbbm",1927,168,0,0
"cbbm",1928,167,0,0
"cbbm",1929,169,0,0
"cbbm",1930,169,1,0.00591715976331361
"cbbm",1931,169,1,0.00591715976331361
"cbbm",1932,166,0,0
"cbbm",1933,162,0,0
"cbbm",1934,159,0,0
"cbbm",1935,159,0,0
"cbbm",1936,157,1,0.00636942675159236
"cbbm",1937,158,0,0
"cbbm",1938,158,1,0.00632911392405063
"cbbm",1939,159,0,0
"cbbm",1940,158,1,0.00632911392405063
"cbbm",1941,158,0,0
"cbbm",1942,158,0,0
"cbbm",1943,160,4,0.025
"cbbm",1944,128,2,0.015625
"cbbm",1945,146,2,0.0136986301369863
"cbbm",1946,160,1,0.00625
"cbbm",1947,165,4,0.0242424242424242
"cbbm",1948,159,0,0
"cbbm",1949,147,1,0.00680272108843537
"cbbm",1950,144,2,0.0138888888888889
"cbbm",1951,152,1,0.00657894736842105
"cbbm",1952,156,0,0
"cbbm",1953,158,0,0
"cbbm",1954,160,0,0
"cbbm",1955,162,1,0.00617283950617284
"cbbm",1956,166,0,0
"cbbm",1957,167,0,0
"cbbm",1958,173,0,0
"cbbm",1959,174,1,0.00574712643678161
"cbbm",1960,175,1,0.00571428571428571
"cbbm",1961,173,2,0.0115606936416185
"cbbm",1962,178,1,0.00561797752808989
"cbbm",1963,178,2,0.0112359550561798
"cbbm",1964,179,1,0.00558659217877095
"cbbm",1965,180,1,0.00555555555555556
"cbbm",1966,182,0,0
"cbbm",1967,186,0,0
"cbbm",1968,190,0,0
"cbbm",1969,193,1,0.00518134715025907
"cbbm",1970,196,1,0.00510204081632653
"cbbm",1971,203,3,0.0147783251231527
"cbbm",1972,212,0,0
"cbbm",1973,217,0,0
"cbbm",1974,232,3,0.0129310344827586
"cbbm",1975,234,3,0.0128205128205128
"cbbm",1976,234,2,0.00854700854700855
"cbbm",1977,244,1,0.0040983606557377
"cbbm",1978,253,2,0.00790513833992095
"cbbm",1979,256,0,0
"cbbm",1980,260,4,0.0153846153846154
"cbbm",1981,264,1,0.00378787878787879
"cbbm",1982,273,0,0
"cbbm",1983,274,1,0.00364963503649635
"cbbm",1984,275,0,0
"cbbm",1985,282,3,0.0106382978723404
"cbbm",1986,283,3,0.0106007067137809
"cbbm",1987,290,2,0.00689655172413793
"cbbm",1988,290,5,0.0172413793103448
"cbbm",1989,293,4,0.0136518771331058
"cbbm",1990,292,2,0.00684931506849315
"cbbm",1991,295,2,0.00677966101694915
"cbbm",1992,298,2,0.00671140939597315
"cbbm",1993,298,2,0.00671140939597315
"cbbm",1994,301,0,0
"cbbm",1995,302,5,0.0165562913907285
"cbbm",1996,305,4,0.0131147540983607
"cbbm",1997,305,3,0.00983606557377049
"cbbm",1998,306,3,0.00980392156862745
"cbbm",1999,310,1,0.0032258064516129
"cbbm",2000,318,2,0.00628930817610063
"cbbm",2001,318,6,0.0188679245283019
"cbbm",2002,321,3,0.00934579439252336
"cbbm",2003,325,3,0.00923076923076923
"cbbm",2004,326,3,0.00920245398773006
"cbbm",2005,326,4,0.0122699386503067
"cbbm",2006,326,1,0.00306748466257669
"cbbm",2007,325,1,0.00307692307692308
"cbbm",2008,328,8,0.024390243902439
"cbbm",2009,330,4,0.0121212121212121
"cbbm",2010,334,5,0.0149700598802395
"cbbm",2011,345,1,0.00289855072463768
"cbbm",2012,344,5,0.0145348837209302
"cbbm",2013,347,4,0.0115273775216138
"cbbm",2014,351,3,0.00854700854700855
"cbbm",2015,351,2,0.0056980056980057
"cbbm",2016,351,6,0.0170940170940171
"cbbm",2017,351,4,0.0113960113960114
"cbbm",2018,351,7,0.0199430199430199
"cbbm",2019,353,2,0.0056657223796034
"cbbm",2020,353,7,0.0198300283286119
"cbbm",2021,347,4,0.0115273775216138
"cbbm",2022,358,8,0.0223463687150838
"cbbm",2023,363,10,0.0275482093663912
"cfb",1919,87,0,0
"cfb",1920,87,0,0
"cfb",1921,92,1,0.0108695652173913
"cfb",1922,100,0,0
"cfb",1923,102,0,0
"cfb",1924,101,0,0
"cfb",1925,99,0,0
"cfb",1926,92,1,0.0108695652173913
"cfb",1927,94,1,0.0106382978723404
"cfb",1928,95,0,0
"cfb",1929,95,1,0.0105263157894737
"cfb",1930,99,0,0
"cfb",1931,103,0,0
"cfb",1932,112,0,0
"cfb",1933,117,0,0
"cfb",1934,115,0,0
"cfb",1935,118,0,0
"cfb",1936,120,0,0
"cfb",1937,122,0,0
"cfb",1938,118,0,0
"cfb",1939,119,0,0
"cfb",1940,118,0,0
"cfb",1941,113,0,0
"cfb",1942,108,1,0.00925925925925926
"cfb",1943,66,0,0
"cfb",1944,85,0,0
"cfb",1945,94,0,0
"cfb",1946,118,1,0.00847457627118644
"cfb",1947,118,0,0
"cfb",1948,116,0,0
"cfb",1949,117,0,0
"cfb",1950,118,0,0
"cfb",1951,115,0,0
"cfb",1952,113,0,0
"cfb",1953,110,0,0
"cfb",1954,109,1,0.0091743119266055
"cfb",1955,109,0,0
"cfb",1956,110,0,0
"cfb",1957,111,0,0
"cfb",1958,111,1,0.00900900900900901
"cfb",1959,111,0,0
"cfb",1960,112,0,0
"cfb",1961,110,0,0
"cfb",1962,119,0,0
"cfb",1963,119,0,0
"cfb",1964,119,0,0
"cfb",1965,119,0,0
"cfb",1966,119,0,0
"cfb",1967,118,0,0
"cfb",1968,118,0,0
"cfb",1969,121,0,0
"cfb",1970,121,2,0.0165289256198347
"cfb",1971,126,1,0.00793650793650794
"cfb",1972,127,2,0.015748031496063
"cfb",1973,128,1,0.0078125
"cfb",1974,129,1,0.00775193798449612
"cfb",1975,137,0,0
"cfb",1976,137,0,0
"cfb",1977,145,1,0.00689655172413793
"cfb",1978,137,2,0.0145985401459854
"cfb",1979,139,2,0.0143884892086331
"cfb",1980,138,0,0
"cfb",1981,137,2,0.0145985401459854
"cfb",1982,112,1,0.00892857142857143
"cfb",1983,111,0,0
"cfb",1984,110,1,0.00909090909090909
"cfb",1985,110,2,0.0181818181818182
"cfb",1986,105,2,0.019047619047619
"cfb",1987,104,0,0
"cfb",1988,105,0,0
"cfb",1989,106,2,0.0188679245283019
"cfb",1990,107,1,0.00934579439252336
"cfb",1991,107,1,0.00934579439252336
"cfb",1992,107,4,0.0373831775700935
"cfb",1993,106,2,0.0188679245283019
"cfb",1994,107,1,0.00934579439252336
"cfb",1995,108,0,0
"cfb",1996,111,1,0.00900900900900901
"cfb",1997,112,1,0.00892857142857143
"cfb",1998,112,3,0.0267857142857143
"cfb",1999,114,2,0.0175438596491228
"cfb",2000,116,1,0.00862068965517241
"cfb",2001,117,3,0.0256410256410256
"cfb",2002,117,3,0.0256410256410256
"cfb",2003,117,5,0.0427350427350427
"cfb",2004,120,3,0.025
"cfb",2005,119,1,0.00840336134453781
"cfb",2006,119,4,0.0336134453781513
"cfb",2007,120,7,0.0583333333333333
"cfb",2008,120,2,0.0166666666666667
"cfb",2009,120,3,0.025
"cfb",2010,120,7,0.0583333333333333
"cfb",2011,120,10,0.0833333333333333
"cfb",2012,124,11,0.0887096774193548
"cfb",2013,125,8,0.064
"cfb",2014,128,9,0.0703125
"cfb",2015,128,12,0.09375
"cfb",2016,128,10,0.078125
"cfb",2017,130,11,0.0846153846153846
"cfb",2018,130,9,0.0692307692307692
"cfb",2019,130,5,0.0384615384615385
"cfb",2020,130,6,0.0461538461538462
"cfb",2021,130,19,0.146153846153846
"cfb",2022,131,15,0.114503816793893
"cfb",2023,133,10,0.075187969924812
"epl",1993,22,1,0.0454545454545455
"epl",1994,22,6,0.272727272727273
"epl",1995,22,9,0.409090909090909
"epl",1996,20,1,0.05
"epl",1997,20,7,0.35
"epl",1998,20,5,0.25
"epl",1999,20,6,0.3
"epl",2000,20,4,0.2
